角色ID	名字	模型	简单AI	行为树	思考间隔	视野	追踪距离	备注	放缩比例	受击材质	原形id	原形名	默认姿态	性格类型	无重力	选中圈比例	选中框比例	头像	显示可进行任务标识	称谓	归属名	归属类型	是否纯表现	随机冒泡内容	随机冒泡概率	隐藏距离	屏蔽点击	阵营	是否主动怪	可视类型	地图显示	头顶显示	隐藏名称	不转向	无血条	头顶显示血条	不飘血	非战斗待机动作	循环特效	前端行为树ID	职业	移动速度	锁定镜头	碰撞半径	受击半径	免疫控制	初始状态	五行属性	默认技能	死亡技能	后端动作	等级设置类型	怪物等级	星级	生命修正	攻击修正	防御修正	力量资质	智慧资质	根骨资质	体魄资质	敏捷资质	身法资质	总点数	生命资质	物理攻击资质	法术攻击资质	物理防御资质	法术防御资质	生命值	物理攻击	法术攻击	物理防御	法术防御	治疗强度	护体	护体恢复	生命恢复	暴击率	暴击伤害率	暴击防御率	回避率	命中率	招架率	熟练率	韧劲率	物理穿透	法术穿透	金抗性率	木抗性率	水抗性率	火抗性率	土抗性率	金伤害率	木伤害率	水伤害率	火伤害率	土伤害率	阴伤害率	阳伤害率
2002	恶魔军官	mod_suijunjunguanemo	1						1.2	2	2002	恶魔军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13700;13701;13702;13703;13704;13705		intro_1|90			3	6	0.6	1.2	1		1				2	1	1		1	1																															
2003	白虎都督	mod_baihuzhanshi	1						1.5	2	2004	精英白虎监工	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				10600;10601;10602		stand_up|78;dead|65;intro_1|97;wedakness|36			3	6	0.6	1.2	1.5				0.5		2	1	1		1	1																															
2004	白虎猛士	mod_baihuyongshi	1						1.5	2	2005	精英白虎勇士	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				10700;10702;10701		stand_up|78;dead|65;intro_1|97;wedakness|36			3	6	0.6	1.2	1		1				2	1	1		2	0																															
2005	朱雀先锋	mod_zhuquechihou	1						1.5	2	2006	精英朱雀斥候	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				13100;13101;13102		stand_up|78;dead|65;intro_1|97;wedakness|36			3	6	0.6	1.2	1				1		2	1	1		1	1																															
2006	朱雀祭师	mod_honglianwunv	1						1.5	2	2007	精英红莲女巫	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				10900;10901;10902;10903		stand_up|78;dead|65;intro_1|97;wedakness|36			3	6	0.6	1.2		1.5				0.5	2	1		1	0.5	1.5																															
2007	白虎刺客	mod_baihucike	1						1.5	2	2008	精英白虎刺客	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				11100;11101;11102;11103		stand_up|78;dead|65;intro_1|97;wedakness|36			3	6	0.6	1.2	0.5				1.5		2	0.75	1.5		1	0.5																															
2008	逆鳞将	mod_qinglongyongshi	1						1.5	2	2009	精英青龙勇士	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				11300;11301;11302		stand_up|78;dead|65;intro_1|97;wedakness|36			3	6	0.6	1.2	1		1				2	1	1		1	1																															
2009	飞羽将	mod_yuminzhanshi	1						1.5	2	2010	精英羽民战士	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				11400;11401;11402		stand_up|78;dead|65;intro_1|97;wedakness|36			3	6	0.6	1.2	1					1	2	1	1		1	1																															
2010	翼蛇老大	mod_yishe	1						2	2	2011	精英翼蛇	1			1	1	ui_Head_Common_Blame										2	1													4		0	2				12300;12301;12302		intro_1|59			3	6	0.6	1.2					1	1	2	1		1	1	1																															
2011	火光兽老大	mod_huoguangshou	1						1.5	2	2012	精英火光兽	1			1	1	ui_Head_Common_Blame										2	1													5		0	2				12900;12091;12902		stand_up|39;dead|60;intro_1|43;wedakness|39			3	6	0.6	1.2		1		1			2	1		1	0	2																															
2012	隋军队长	mod_suijunjunguan	1						1.3	2	2001	隋军军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13600;13601;13602;13603;13604;13605;13606		intro_1|53			3	6	0.6	1.2	1		0.5			0.5	2	1	1		1	1																															
2013	阿拔东	mod_emo	1						1.2	2	2013	精英恶魔	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73			3	6	0.6	1.2	1		0.5	0.5			2	1	1		1	1																															
2014	蚩尤族百夫长	mod_chiyouzuzhanshi	1						1.5	2	2014	蚩尤族百夫长	1			1	1	ui_Head_Common_Blame										2	1													5		0	1.6				13200;13201;13202		stand_up|69;dead|55;intro_1|61;wedakness|40			3	6	0.6	1.2	1			1			2	1.25	1		1.5	0.2																															
2015	蚩尤族玄甲卫	mod_chiyouzujiashi	1						1.5	2	2015	蚩尤族玄甲卫	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.6				12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40			3	6	0.6	1.2	1		1				2	1.25	1		1.5	0																															
2016	巨象猎人	mod_juxianglieren_human	1						1.3	2	2016	巨象猎人（人）	1			2	1.5	ui_Head_Common_Blame										2	1													4		0	2.5				21700;21701;21702;21703;21704		intro_1|53			3	6	0.6	1.2	2						2	0.8	1.5		1	1																															
2017	真巨象猎人	mod_juxianglieren	1						1.3	2	2017	巨象猎人（人和象）	1			3.5	2	ui_Head_Common_Blame										2	1													4		0	3.5				21800;21801;21802;21803;21804;21805;21806		intro_1|53			3	6	0.6	1.2	1		1				2	1	1		1	1																															
2018	尸化重弩手	mod_shihuashibing_2	1						1.1	2	2018	尸化重弩手	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11700;11701;11702		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			3	6	0.6	1.2	1				1		2	0.75	1.25		1	1																															
2019	朱雀炎将	mod_zhuqueyanjiang	1						1.5	2	2019	朱雀炎将	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				21900;21901;21902;21903		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			3	6	0.6	1.2	1				0.5	0.5	2	1	1		1	1																															
2020	羽民风伯	mod_yuminfengbo	1						1.3	2	1056	羽民风伯	1			1.2	1.2	ui_Head_Common_Blame										2	1													5		0	0.3				15104		stand_up|62;dead|59;intro_1|79;wedakness|50			3	6	0.6	1.2		1.5				0.5	2	1		1	1	1																															
2021	隋军副官	mod_suijunjunguan_2	1						1.3	2	2024	隋军副官	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.4				22285		intro_1|53			3	6	0.6	1.2	1		1				2	1	1		1	1																															
2024	金刚石像	mod_xianglonglishi	1						1.5	1	2020	降龙力士	1			1	1	ui_Head_Common_Blame										2														4		0	0.1				22100;22101;22102;22103		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69	1	50	3	6	0.6	1.2	1				1		2	1	1		1	1	30																														
2025	祸斗兽	mod_huodoushou	1						3	2	2021	祸斗兽	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.4				22300;22301;22302;22303		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			3	6	0.6	1.2	1		0.5			0.5	2	1	1		1	1																															
2026	远古战灵灵魂	mod_zhanling_fx_ball	1						1	2	2003	远古战灵灵魂	1			0	0	ui_Head_Common_Blame										2	1					1								0		0	1				22610;22611;22612;22613					3	6	0.6	1.2	1		1				2	1	1		1	1																															
3001	龙	mod_drogan_boss	1							2	3001	龙	302			1	1	ui_Head_Common_Blame										2	1				-1									10		0	1.5	1			20000;20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;20013;20014;20015					4	15	1	1.4	1		1				2	1	1		1	1																															
3002	飞龙	mod_drogan_boss	1							2	3002	飞龙	302			1	1	ui_Head_Common_Blame										2	1				-1									10		0	1.5	1			20000;20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;20013;20014;20015					4	15	1	1.4	1		1				2	1	1		1	1																															
3003	宇文拓	mod_yuwentuo	1							2	7001	宇文拓	5			1	1	ui_Head_Common_Blame										2	1													5	2|1.8|6.5|50	0	0.1				20500;20503;20504;20505		intro_1|105;			4	15	1	1.4	1		1				2	1	1		1	1																															
3004	姬良	mod_jiliang	1							2	7002	姬良	5			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1				20600;20601;20602;20603;20604;20605;20606					4	15	1	1.4		2					2	1		1	1	1																															
3005	宇文拓	mod_yuwentuo	1					己方103关专用		2	7001	宇文拓	5			1	1	ui_Head_Common_Blame										1	1							1						5		0	0.1				20500;20503;20504;20505		intro_1|105;			4	15	1	1.4	1		1				2	1	1		1	1																															
3006	陈靖仇	mod_chenjingchou	1					己方102/103关专用		2	7006	陈靖仇	5			1	1	ui_Head_Common_Male										1	1		5					1						5		0	0.1				21200;21201;21202;21203;21204;21205					4	15	1	1.4	1		1				2	1	1		1	1	100000																														
3007	撒旦	mod_sadan	1							2	3003	撒旦	303		1	1	1	ui_Head_Common_Blame										2	1		5		-1									0	2.5|2.87|4|65	0	12.1	1			20100;20101;20102;20103;20104;20105;20106					4	15	1	1.4	1		0.5	0.5			2	1	1	1	1	1																															
3008	尸化大将军	mod_shihuadajiangjun	1							2	3004	尸化大将军	1			1	1	ui_Head_Common_Blame										2	1		5											5	2|1.8|6.5|50	0	1.6	1			20200;20201;20202;20203;20204;20205		intro_1|134			4	15	1	1.4	1.5				0.5		2	1	1		1	1																															
3009	雨师	mod_yushi	1						1.5	2	3006	雨师	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			20300;20301;20302;20303;20304;20305		intro_1|44			4	15	1	1.4		1				1	2	0.75		1.5	0.75	0.75																															
3010	亚坦	mod_suijunjunguanemo	1						1.8	2	3015	恶魔军官	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			13700;13701;13702;13703;13704;13705		intro_1|90			4	15	1	1.4	2						2	1	1		1	1																															
3011	风后	mod_fenghou	1						1.5	2	3016	风后	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			21500;21501;21502;21503;21504;21505;21506;21507;21508;21509;21510;21511;21512		intro_1|47			4	15	1	1.4		2					2	0.75		1.5	0.75	0.75																															
3012	朱雀帝	mod_zhuquedi	1						1.2	2	3007	朱雀帝	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			21600;21601;21602;21603;21604;21605;21606		intro_1|47			4	15	1	1.4		1.5			0.5		2	0.75		1.5	0.75	0.75																															
3013	宇文拓	mod_yuwentuo	1					203专用 己方NPC		2	7001	宇文拓	5			1	1	ui_Head_Common_Blame										1	1		5											5	2|1.8|6.5|50	0	0.1				20500;20503;20504;20505		intro_1|105;			4	15	1	1.4	1		1				2	1	1		1	1																															
3014	赤焰	mod_drogan_boss	1					203专用 临时赤焰资源	0.8	2	3017	赤焰	301			1	1	ui_Head_Common_Blame										2	1		5											0		0	1.5	1			20021;20022;20023;20024;20025					4	15	1	1.4	1		1				2	1	1		1	1																															
3015	巨象猎人	mod_juxianglieren_human	1						1.3	2	2016	巨象猎人（人）	1			2	1.5	ui_Head_Common_Blame										2	1		5											4		0	2.5				21700;21701;21702;21703;21704		intro_1|53			4	15	1	1.4	2						2	0.8	1.5		1	1																															
3016	巨象猎人	mod_juxianglieren	1						1.3	2	2017	巨象猎人（人和象）	1			3.5	2	ui_Head_Common_Blame										2	1		5											4		0	3.5				21800;21801;21802;21803;21804;21805;21806		intro_1|53			4	15	1	1.4	1		1				2	1	1		1	1																															
3017	降龙力士	mod_xianglonglishi	1						2.3	2	2020	降龙力士	1			2	2	ui_Head_Common_Blame										2	1		5											4		0	0.1				22100;22101;22102;22103		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			4	15	1	1.4	1				0.5	0.5	2	1	1		1	1.5																															
3018	炽焰	mod_drogan_boss	1							2	3001	龙	301			-1	1	ui_Head_Common_Blame										2														0		1.4	1.5	1			20000;20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;20013;20014;20015			1	50	4	15	1	1.4	2						2	1	1		1	1																															
3019	翼虎	mod_yihu	1					世界boss翼虎	1.2	2	3018	翼虎	7			0	0	ui_Head_Common_Blame										2	1		5											5		0	2.5	1			22200;22201;22202;22203;22203;22203;22204;22205					4	15	1	1.4	1	1	1				3	1	1	1	1	1																															
3020	陈靖仇	mod_chenjingchou_boss	1						1.2	2	3005	陈靖仇	6			1	1	ui_Head_Common_Male										2	1													5		0	0.1	1			20400;20401;20402;20403;20404;20405;20406;20407;20408;20409;20410;20411;20412;20413;20414;20415;20416;20417;20418;20419;20420;20421					4	15	1	1.4	1				1		2	1	1		1	1																															
3021	男剑客	mod_nanjianke_2	1						1	2	3019	男剑客boss	1			1	1	ui_Head_Common_Male										2	1													5		0	0.1	1			1001;1011;1021;1031;1041;1101;1111;1201;1221;1401;1501;1301;1311;1511;1531;1541;1521;1601;1701;1231;1901;1906					4	15	1	1.4	1		1				2	1	1		1	1																															
3022	陈靖仇	mod_chenjingchou	1					己方102/103关陈靖仇		2	7006	陈靖仇	5			1	1	ui_Head_Common_Male										1	1		5											5		0	0.1				21200;21201;21202;21203;21204;21205					4	15	1	1.4	1		1				2	1	1		1	1	100000																														
3023	蚩尤	mod_chiyou	1						1	2	3020	蚩尤	150			0	0	ui_Head_Common_Male										2	1		5		-1									5		0	3	1			22500;22501;22502;22503;22504;22505;22506;22507;22508;22509;22510;22511					4	15	1	1.4	1		1				2	1	1		1	1	100																														
3024	远古战灵	mod_yuanguzhanling	1						1	2	3021	远古战灵	7			0	0	ui_Head_Common_Male										2	1		5		-1									5		0	3	1			22609					4	15	1	1.4	1		1				2	1	1		1	1	100																														
3025	玄武鲨	mod_xuanwusha	1						1	2	3022	玄武鲨	7			0	0	ui_Head_Common_Male										2	1		5		-1									5		0	3	1			22704					4	15	1	1.4	1		1				2	1	1		1	1	100																														
3026	修真道士	mod_xiuzhendaoshi	1						1.8	2	3023	修真道士	1			0	0	ui_Head_Common_Male										2	1		5		-1									5		0	3	1			22808					4	15	1	1.4	1		1				2	1	1		1	1	100																														
3027	应龙	mod_yinglong	1						1.8	2	3024	应龙	1			0	0	ui_Head_Common_Male										2	1		5		-1									5		0	3	1								4	15	1	1.4	1		1				2	1	1		1	1	100																														
3028	冥鳞	mod_qinglin	1						1.8	2	3025	冥鳞	7			0	0	ui_Head_Common_Male										2	1		5		-1									5		0	3	1								4	15	1	1.4	1		1				2	1	1		1	1	100																														
3029	皇帝	mod_huangdi	1						1.8	2	3026	皇帝	1			0	0	ui_Head_Common_Male										2	1		5		-1									5		0	3	1			23017					4	15	1	1.4	1		1				2	1	1		1	1	100																														
3030	六血灵阵	mod_huangdi_flower_1	1						1	2	3027	六血灵阵	1			0	0	ui_Head_Common_Male										2	1		5		-1						fx_huangdi_flower_1_Loop			0		0	3	1			23017					4	15	1	1.4	1		1				2	1	1		1	1	100																														
3701	宇文拓	mod_yuwentuo	1					思念幻阵	1.2	2	3008	宇文拓	5			1	1	ui_Head_Common_Male										2	1													5	2|1.8|6.5|50	0	0.1	1			20500;20501;20502;20503;20504;20505		intro_1|105;			4	15	1	1.4	2						2	1	1		1	1																															
3702	姬良	mod_jiliang	1					思念幻阵	1.2	2	3009	姬良	5			1	1	ui_Head_Common_Male										2	1													5		0	0.1				22000;22001;22002;22003;22004;22005;22006;22007;22008;22009;22010;22011;22012;22013;22014;22015;22016;22017;22018					4	15	1	1.4		1		1			2	1		1	1	1																															
3703	水镜	mod_shuijing	1					思念幻阵	1.2	2	3010	水镜	5			1	1	ui_Head_Common_Female										2	1													5		0	0.1				20700;20701;20702;20703;20704;20705;20706					4	15	1	1.4	0.8				1.2		2	1	1.5		0.5	0.5																															
3704	于小雪	mod_yuxiaoxue	1					思念幻阵	1.2	2	3011	于小雪	5			1	1	ui_Head_Common_Female										2	1													5		0	0.1				20900;20901;20902;20903;20904;20905;20906					4	15	1	1.4		0.8		1		0.2	2	0.8		1.2	0	2																															
3705	龙女茵芝	mod_longnv	1					思念幻阵	1.2	2	3012	龙女茵芝	5			1	1	ui_Head_Common_Female										2	1													5		0	0.1				21100;21101;21102;21103;21104					4	15	1	1.4		1.5			0.5		2	0.8		1.2	1	1																															
3706	陈靖仇	mod_chenjingchou_boss	1					思念幻阵	1.2	2	3005	陈靖仇	6			1	1	ui_Head_Common_Male										2	1													5		0	0.1	1			20400;20401;20402;20403;20404;20405;20406;20407;20408;20409;20410;20411;20412;20413;20414;20415;20416;20417;20418;20419;20420;20421					4	15	1	1.4	1				1		2	1	1		1	1																															
3707	拓跋玉儿	mod_tuobayuer	1					思念幻阵	1.2	2	3013	拓跋玉儿	5			1	1	ui_Head_Common_Female										2	1													5		0	0.1				21300;21301;21302;21303;21304;21305					4	15	1	1.4	1		0.5			0.5	2	1	1		1	1																															
3708	慕容诗	mod_murongshi	1					思念幻阵	1.2	2	3014	慕容诗	5			1	1	ui_Head_Common_Female										2	1													5		0	0.1				21400;21401;21402;21403;21404;21405					4	15	1	1.4	1.5					0.5	2	1	1		1	1																															
6001	黑风寨主	mod_juxianglieren	1					帮会大盗boss	1.3	2	2023	巨象猎人（黑风寨主）	1			3.5	2	ui_Head_Common_Blame										2	1		5											0		0	2.1				21800;21801;21802;21803;21804;21805;21806		intro_1|53			4	15	1	1.4	1		1				2	1	1		1	1																															
6002	强盗	mod_qiangdao	1					帮会大盗强盗	1	2	1050	强盗	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14500;14501		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			1	2	0.3	1	1				0.5	0.5	2	1	1		1	1																															
6003	隋军弩手	mod_zhuoluchenggongjianshou	1					帮会大盗弩手		2	1033	逐鹿城弩手	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				11000;11001;11002		intro_1|100			1	2	0.3	1	1				1		2	0.75	1.25		1	1																															
6004	巨象猎人	mod_juxianglieren_human	1					大盗副本里的BOSS	1.3	2	2016	巨象猎人（人）	1			2	1.5	ui_Head_Common_Blame										2	1		5											4		0	2.5				21700;21701;21702;21703;21704		intro_1|53			4	15	1	1.4	2						2	0.8	1.5		1	1																															
6010	尸化士兵	mod_shihuashibing_1	1					天书试练_鬼神除怨		2	1012	尸化士兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11600;11601;11602		stand_up|62;dead|59;intro_1|60;wedakness|50;intro_2|69			5	10	0.5	1	1		1				2	1	1		1	1																															
6011	尸化弩手	mod_shihuashibing_2	1					天书试练_鬼神除怨		2	1013	尸化弩手	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11700;11701		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			5	10	0.5	1	1				1		2	0.75	1.25		1	1																															
6012	冤魂	mod_yuanhun	1					天书试练_鬼神除怨		2	1023	冤魂	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				12800;12801;12802		stand_up|73;dead|59;intro_1|86;wedakness|33			5	10	0.5	1					1	1	2	1		1	1	1																															
6013	魔化人类	mod_mohuarenlei	1					天书试练_鬼神除怨	1.4	2	10211	魔化人类	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				13000;13001;13002		stand_up|64;dead|58;intro_1|74;wedakness|36			5	10	0.5	1	2						2	1	1		1	1																															
6014	隋军军官	mod_suijunjunguan	1					天书试练_鬼神除怨	1.3	2	2001	隋军军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13600;13601;13602;13603;13604;13605;13606		intro_1|53			5	10	0.5	1	1		0.5			0.5	2	1	1		1	1																															
6015	恶魔军官	mod_suijunjunguanemo	1					天书试练_鬼神除怨	1.2	2	2002	恶魔军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13711;13712;13713;13714;13715		intro_1|90			5	10	0.5	1	1		1				2	1	1		1	1																															
6016	祸斗兽	mod_huodoushou	1					天书试练_鬼神除怨	1.3	2	2021	祸斗兽	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.4				22300;22301;22302;22303		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			6	30	1	1.2	1		0.5			0.5	2	1	1		1	1																															
6017	食火兽	mod_huodoushou	1					天书试练_鬼神除怨	1	2	2022	祸斗兽（无技能版）	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				22300;22301		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			6	30	1	1.2	1		0.5			0.5	2	1	1		1	1																															
6018	尸化大将军	mod_shihuadajiangjun	1					天书试练_鬼神除怨		2	3004	尸化大将军	1			1	1	ui_Head_Common_Blame										2	1		5											5	2|1.8|6.5|50	0	1.6	1			20200;20201;20202;20203;20204;20205		intro_1|134			7	60	1.5	1.4	1.5				0.5		2	1	1		1	1																															
6019	白虎监工	mod_baihuzhanshi	1					天书试练_宝塔之乱		2	1000	白虎监工	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10600;10601;10602		intro_1|100;hit_out_1|10			5	10	0.5	1	1.5				0.5		2	1	1		1	1																															
6020	白虎勇士	mod_baihuyongshi	1					天书试练_宝塔之乱		2	1001	白虎勇士	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10700;10702;10701		intro_1|100;hit_out_1|10			5	10	0.5	1	1		1				2	1	1		2	0																															
6021	红莲女巫	mod_honglianwunv	1					天书试练_宝塔之乱		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10900;10901		intro_1|100;hit_out_1|10			5	10	0.5	1		1.5				0.5	2	1		1	0.5	1.5																															
6022	朱雀斥候	mod_zhuquechihou	1					天书试练_宝塔之乱		2	1040	朱雀斥候	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				13100;13101		stand_up|78;dead|65;intro_1|97;wedakness|36			5	10	0.5	1	1				1		2	1	1		1	1																															
6023	朱雀卫队	mod_zhuqueweidui	1					天书试练_宝塔之乱		2	1046	朱雀卫队	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				14200;14201		stand_up|69;dead|55;intro_1|61;wedakness|40			5	10	0.5	1	1					1	2	1	1		1	1																															
6024	白虎都督	mod_baihuzhanshi	1					天书试练_宝塔之乱	1.5	2	2004	精英白虎监工	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				10600;10601;10602		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	1.5				0.5		2	1	1		1	1																															
6025	白虎猛士	mod_baihuyongshi	1					天书试练_宝塔之乱	1.5	2	2005	精英白虎勇士	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				10700;10702;10701		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	1		1				2	1	1		2	0																															
6026	朱雀先锋	mod_zhuquechihou	1					天书试练_宝塔之乱	1.5	2	2006	精英朱雀斥候	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				13100;13101;13102		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	1				1		2	1	1		1	1																															
6027	朱雀祭师	mod_honglianwunv	1					天书试练_宝塔之乱	1.5	2	2007	精英红莲女巫	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				10900;10901;10902;10903		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2		1.5				0.5	2	1		1	0.5	1.5																															
6028	白虎刺客	mod_baihucike	1					天书试练_宝塔之乱	1.5	2	2008	精英白虎刺客	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				11100;11101;11102;11103		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	0.5				1.5		2	0.75	1.5		1	0.5																															
6029	朱雀炎将	mod_zhuqueyanjiang	1					天书试练_宝塔之乱	1.5	2	2019	朱雀炎将	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				21900;21901;21902;21903		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			6	30	1	1.2	1				0.5	0.5	2	1	1		1	1																															
6030	白虎刺客	mod_baihucike	1					天书试练_宝塔之乱		2	1008	白虎刺客	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11100;11101;11102;11103;11104		intro_1|100;hit_out_1|10			5	10	0.5	1	0.5				1.5		2	0.75	1.5		1	0.5																															
6031	雨师	mod_yushi	1					天书试练_宝塔之乱	1.5	2	3006	雨师	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			20300;20301;20302;20303;20304;20305		intro_1|44			7	60	1.5	1.4		1				1	2	0.75		1.5	0.75	0.75																															
6032	风后	mod_fenghou	1					天书试练_宝塔之乱	1.5	2	3016	风后	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			21500;21501;21502;21503;21504;21505;21506;21507;21508;21509;21510;21511;21512		intro_1|47			7	60	1.5	1.4		2					2	0.75		1.5	0.75	0.75																															
6033	仙女	mod_xiannv	1					天书试练_平定道场		2	1039	仙女	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				14100;14101		stand_up|36;dead|50;intro_1|51;wedakness|39			5	10	0.5	1		1.5				0.5	2	1		1	1	1																															
6034	青龙勇士	mod_qinglongyongshi	1					天书试练_平定道场		2	1009	青龙勇士	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11300;11301;11302		intro_1|100;hit_out_1|10			5	10	0.5	1	1		1				2	1	1		1	1																															
6035	羽民战士	mod_yuminzhanshi	1					天书试练_平定道场		2	1010	羽民战士	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				11400;11401;11402		intro_1|100;hit_out_1|10			5	10	0.5	1	1					1	2	1	1		1	1																															
6036	逆鳞将	mod_qinglongyongshi	1					天书试练_平定道场	1.5	2	2009	精英青龙勇士	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				11300;11301;11302		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	1		1				2	1	1		1	1																															
6037	飞羽将	mod_yuminzhanshi	1					天书试练_平定道场	1.5	2	2010	精英羽民战士	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				11400;11401;11402		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	1					1	2	1	1		1	1																															
6038	降龙力士	mod_xianglonglishi	1					天书试练_平定道场	2.3	2	2020	降龙力士	1			2	2	ui_Head_Common_Blame										2	1		5											4		0	0.1				22100;22101;22102;22103		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			7	60	1.5	1.4	1				0.5	0.5	2	1	1		1	1.5																															
6039	姬良	mod_jiliang	1					天书试练_桃源仙踪	1.2	2	3009	姬良	5			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1				22000;22001;22002;22003;22004;22005;22006;22007;22008;22009;22010;22011;22012;22013;22014;22015;22016;22017;22018					7	60	1.5	1.4		1		1			2	1		1	1	1																															
6040	火光兽	mod_huoguangshou	1					天书试练_桃源仙踪		2	1041	火光兽	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				12900;12091;12902		stand_up|39;dead|60;intro_1|43;wedakness|39			5	10	0.5	1		1		1			2	1		1	0	2																															
6041	翼蛇	mod_yishe	1					天书试练_桃源仙踪		2	1024	翼蛇	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				12300;12301		intro_1|59			5	10	0.5	1					1	1	2	1		1	1	1																															
6042	翼蛇老大	mod_yishe	1					天书试练_桃源仙踪	2	2	2011	精英翼蛇	1			1	1	ui_Head_Common_Blame										2	1													4		0	2				12300;12301;12302		intro_1|59			6	30	1	1.2					1	1	2	1		1	1	1																															
6043	火光兽老大	mod_huoguangshou	1					天书试练_桃源仙踪	1.5	2	2012	精英火光兽	1			1	1	ui_Head_Common_Blame										2	1													5		0	2				12900;12091;12902		stand_up|39;dead|60;intro_1|43;wedakness|39			6	30	1	1.2		1		1			2	1		1	0	2																															
