ID	name	备注	内容
3034	tr_trade_suc	商会	购买成功
3035	tr_price_error	商会	物品价格发生变化操作失败请重新操作
3036	tr_noitem	商会	你暂无商品可出售
3037	tr_sell_suc	商会	出售成功
3038	tr_buy_error	商会  	购买失败
3039	tr_sell_error	商会	出售失败
3040	tr_sell_limit	商会	{0}货币超出上限
3100		【道具药品】-满血使用药品提示	目前为满血状态，无法使用
3101		【道具药品】-装配药品提示	成功装配了药品：{0}
3102		【道具药品】-药品使用后，血量恢复提示	血量恢复{0}，长按可更换药品
3103		【道具药品】-卸下药品提示	成功卸下药品：{0}
3104		【道具药品】-药品使用冷却提示	冷却中…
3105		【道具药品】-血池储备增加	你的血池增加了{0}点，脱战后会自动回复血量
3106		【道具背包】-背包栏位解锁	是否花费#[G2]{0}#n{1}解锁5个栏位？
3107		【道具背包】-物品丢弃确认	丢弃后将被摧毁，是否确认？
3108		【道具背包】-物品合并确认	是否确认将{0}全部合并为绑定的物品？
3109		【道具背包】-整理频率太高	操作过于频繁，请稍后再试
3110		【道具背包】-背包满，无法获取物品	包裹栏位不足，请及时清理
3111		【道具背包】-背包满，无法参加活动	包裹已满无法参加，请及时清理
3112		【道具背包】-判断物品使用职业不符合	当前职业无法使用
3113		【道具背包】-判断使用等级条件不足	等级不符
3114		【道具背包】-出售物品提示	出售成功
3115		【道具背包】-没有灵兽时，使用灵兽培养道具	你当前还没有灵兽
3121		【道具分解】-分解确认	分解后将失去道具并获取一定的奖励，是否确认？
3122		【道具分解】-背包空间不足提示	包裹空间不足，请整理后再进行分解
3123		【道具分解】-分解紫色或者以上装备确认	将分解较为珍贵的装备，是否继续？
3124		【道具分解】-分解成功	分解成功
3131		【道具合成】-背包空间不足，不能合成	包裹空间不足，无法合成
3132		【道具合成】-绑定确认	合成材料中有绑定材料，物品合成后将成为绑定
3133		【道具合成】-材料不足	材料不足，无法合成
3134		【道具合成】-合成失败	合成失败
3135		【道具合成】-合成成功	合成成功
3201		【登录创建】-起名超过数量上限	昵称超过字数
3202		【登录创建】-起名重复	该昵称已被使用，请更换
3203		【登录创建】-起名包含屏蔽字	昵称包含非法字符，请更换
3204		【登录创建】-起名字数太少	昵称过短，请重新输入
3205		【登录创建】-删除角色，弹框确认	是否确认删除#[B3]{0}#n？
3206		【登录创建】-选中处于删除等待的角色	该角色正在等待删除，可使用恢复功能
3207		【登录创建】-角色恢复，弹框确认	{0}后#[B3]{1}#n将被删除，是否立即恢复？
3208		【登录创建】-职业未开放，点击职业框	该职业暂未开放
3209		【登录创建】-职业无男性	该职业没有男性
3210		【登录创建】-职业无女性	该职业没有女性
3211		【登录创建】-服务器连接失败	连接服务器失败
3212		【登录创建】-起名框为空	用户名不能为空
3213		【登录创建】-起名不包含中文	用户名必须包含中文或者字母
3214		【登录创建】-等待删除描述	该角色{0}秒后将被删除
3221		【登录捏脸】-重新选择方案	重新选择脸型/默认方案，将重置之前对脸型的妆扮及修容操作，是否确认？
3301		【称号】-称号佩戴	称号已佩戴
3302		【称号】-称号取消佩戴	称号已取消佩戴
4000		玩家商店_server	等级不够40级，不能出售
4001		玩家商店_server	当前寄售的物品已满
4002		玩家商店_server	同时在寄售该物品的数量太多，暂时不可寄售
4003		玩家商店_server	银贝不足，上架失败
4004		玩家商店_server	价格错误不能上架
4005		玩家商店_server	个数错误不能上架
4006		玩家商店_server	物品上架成功
4007		玩家商店_server	已被出售
4008		玩家商店_server	关注超过上限
4009		玩家商店_server	金币不足
4010		玩家商店_server	不可出售
4011		玩家商店_server	你选中的物品情况已经改变请重新查看
4012		玩家商店	背包空位不足无法完成下架
4013		玩家商店	物品下架成功
4014		玩家商店	你确定要以{0}的价格购买{1}吗？
4015		玩家商店	你{0}货币不足，无法购买
4016		玩家商店	你的背包已满购买失败
4017		玩家商店	购买商品成功
4018		玩家商店	成功卖出{0}个{1}，获得{3}金贝
4019		玩家商店	
4020		玩家商店	
4021		玩家商店	
4022		玩家商店	
5001		灵兽开启栏位	确定消耗{0}个#[G2]{1}#n开启新的灵兽栏位吗？
5002		灵兽技能已习得	你的灵兽已经学会这个技能啦！
5003		灵兽技能顶替	你的灵兽成功领悟了{0}，同时遗忘了{1}！
5004		灵兽开启新技能栏位	你的灵兽技艺精进，成功领悟了{0}！
5005		灵兽技能锁定	技能锁定后将不可解锁，只有洗炼才会重置技能状态，确定锁定吗？
5006		灵兽洗炼次数已达上限	该灵兽本日已无可洗炼次数，无法洗炼。
5007		灵兽洗炼变异	恭喜你获得了一只变异#[G2]{0}#n！变异后灵兽的资质和成长均会显著提升！
5008		灵兽免费加点重置	每只灵兽前{0}次重置加点操作可免费进行，当前为第#[G2]{1}#n次，确认重置吗？
5009		灵兽普通加点重置	重置当前灵兽加点需要消耗{0}个#[G2]{1}#n，确认重置吗？
5010		灵兽经验已达上限	你的灵兽等级已到达上限，无法再增加经验了！
5011		灵兽培养次数已达上限	你的灵兽培养次数已达上限，无法继续培养。
5012		灵兽悟性已达上限	你的灵兽悟性已达上限，无法继续提升。
5101	Trump_None	法宝	你当前还没有法宝
5102	Trump_Soul_LvMax	法宝	潜修等级已满
5103	Trump_Soul_LvLimit	法宝	已达等级上限
5104	Trump_Soul_Select	法宝	请先选择要使用的物品
5105	Trump_Infused_Success	法宝	注灵成功
5106	Trump_Equip_Selecte	法宝	请先选择要装佩的槽位
5107	Trump_Equip_Success	法宝	法宝装佩成功
5108	Trump_Equip_Joining	法宝	获得新连携属性
5109	Trump_UnEquip	法宝	法宝已卸下
6001		装备	已强化到最大等级！
6002		装备	已觉醒强化到最大等级！
6003		装备	材料不足！
6004		装备	是否将强化等级转移至新的装备上？
6005		装备	当前打造材料中包含装备，打造后装备将会消失，新装备将继承源装备的强化等级和炼化属性，是否确认？
6006		装备	重铸次数已达上限
6007		装备	炼化次数已达上限
6008		装备	凝练次数已达上限
6009		装备	未选择材料
6010		装备	背包中请至少留出一个空位
6011		装备	目标装备ID不存在
6012		装备	材料装备ID与选中材料装备不符
6013		装备	请选择一件装备作为打造材料
6014		装备	银贝不足
6200		装备附魂	装备类型不存在
6201		装备附魂	魂匣ID不存在
6202		装备附魂	魂匣已开启
6203		装备附魂	魂匣未开启
6204		装备附魂	魂魄类型不匹配
6205		装备附魂	魂能值不足
6206		装备附魂	背包中无此魂魄
6207		装备附魂	角色等级达到{0}级时 可开启这个魂匣
6208		装备附魂	确认花费{0}银贝 开启本魂匣吗？
7000	chat_fail	聊天	因未知原因信息发送失败
7001	chat_colddown	聊天	说话太快啦，请骚等{0}秒
7002	chat_item	聊天	缺少物品{0}，聊天发送失败
7003		聊天	频道不对，无法发送
7004		聊天	空文本无法发送
7005	chat_char_length	聊天	聊天字数已达上限
7006		聊天	不存在的私聊对象/或@的玩家不存在
7007		聊天	对方已不是你的好友
7008		聊天	数据库异常
7010	chat_yinbei	聊天	银贝不足
7011	chat_jinbei	聊天	金贝不足
7012	chat_xianyu	聊天	仙玉不足
7013	chat_biyu	聊天	碧玉不足
7014	chat_voice_length_tooshort	聊天	说话时间太短，长按进行录音
7015	chat_voice_length_toolong	聊天	语音过长，已自动发送
7016	chat_cancel	聊天	聊天已被取消
7017	chat_send_success	聊天	聊天已发送成功
7018	chat_level	聊天	等级不足{0}级，发送失败
7019	chat_send_changed	聊天	发送失败，信息已失效
7020	chat_hero_consume	聊天	该频道发言需要消耗道具{0}
7200	team_create_succ	组队	创建队伍成功
7201	team_unknown_err	组队	未知错误
7202	team_create_err_inteam	组队	你已经在队伍中，不能创建队伍
7203	team_dissmiss_succ	组队	你解散了队伍
7204	team_not_inteam	组队	你不在队伍中
7205	team_not_leader	组队	你不是队长
7206	team_already_dismiss	组队	你的队伍已经解散
7207	team_send_invite_succ	组队	邀请入队请求已发送
7208	team_invite_error_team_full	组队	你的队伍已满，不能邀请
7209	team_aim_user_in_team	组队	对方已经在队伍中
7210	team_aim_user_offline	组队	对方不在线
7211	team_send_join_request_succ	组队	入队申请已经发送
7212	team_inteam	组队	你已经在队伍中
7213	team_aim_team_full	组队	目标队伍已经满了
7214	team_not_exist	组队	队伍不存在
7215	team_aim_team_full	组队	对方的队伍已经满了
7216	team_member_be_kicked	组队	#[B3]{0}#n被请离了队伍
7217	team_change_leader_succ	组队	队长移交成功
7218	team_aim_not_team_member	组队	对方不在队伍中
7219	team_leave	组队	#[B3]{0}#n离开了队伍
7220	team_join_request_accepted	组队	你的入队申请被#[B3]{0}#n通过了
7221	team_join_request_rejected	组队	你的入队申请被#[B3]{0}#n拒绝了
7222	team_dismiss	组队	你的队伍被解散了
7223	team_new_member_join	组队	#[B3]{0}#n加入了队伍
7224	team_matching	组队	队伍正在匹配中
7225	team_kick_member	组队	你将#[B3]{0}#n请离了队伍
7226	team_join_team_succ	组队	成功加入队伍
7227	team_invite_be_rejected	组队	#[B3]{0}#n拒绝了你的邀请
7228	team_become_leader	组队	你成为了新队长
7229	team_matching_start	组队	已开始匹配，请稍后
7230	team_matchin_stop	组队	已取消匹配
7231	team_self_be_kicked	组队	你被请离了队伍
7232	team_full	组队	你的队伍已满
7233	team_select_goal_first	组队	请先选择具体的队伍目标
7234	team_send_chat_msg_to_guild	组队	组队信息已发送至氏族频道
7235	team_send_msg_to_world	组队	组队信息已发送至世界频道
7236	team_send_chat_msg_to_team	组队	组队信息已发送至组队频道
7237	team_no_join_request_info	组队	暂时没有入队申请
7238	team_only_leader_set_goal	组队	只有队长才能设置目标
7239	team_select_detail_goal	组队	请先选择具体的队伍目标
7240	team_snd_to_chat_channel_msg	组队	来加入{0}:{1}的队伍，队伍id是{2}
7300	skill_comprehend_tip	技能	领悟后，该秘籍对应的所有技能将提升至终极阶段。确定领悟？
7301	skill_comprehend_succed	技能	领悟成功
7302	skill_save_scheme_tip	技能	确定替换新技能方案到{0}？
7303	skill_use_succed	技能	所有技能已按{0}方案重新选择
7304	skill_use_scheme_tip	技能	使用后原设定的技能天赋将被替换，确定使用？
7305	skill_use_scheme	技能	请选择要使用的方案
7306	skill_save_scheme	技能	请选择要保存的方案
7307	skill_scheme_name	技能	当前方案：
7308	skill_scheme_name_0	技能	默认
7309	skill_scheme_name_1	技能	PVE
7310	skill_scheme_name_2	技能	PVP
7311	skill_scheme_name_3	技能	方案一
7312	skill_scheme_name_4	技能	方案二
7313	skill_save_succed	技能	保存成功
7314	skill_set_name	技能	请输入自定义方案名称
7315	skill_use_tip	技能	没有自定义方案可使用
7350	skill_first_des	技能信息描述	<size=24>{0}
7351	skill_state_des	技能信息描述	击中后，目标{0}{1}秒/米
7352	skill_state_attack_des	技能信息描述	击中后，目标击退{0}米
7353	skill_state_float_des	技能信息描述	击中后造成浮空
7354	skill_damage_des	技能信息描述	造成{0}点{1}伤害
7355	skill_ani_speed_des	技能信息描述	施展速度提高{0}
7356	skill_baoji_rate_des	技能信息描述	额外附加{0}暴击率
7357	skill_ignore_def_des	技能信息描述	无视守御类招式
7358	skill_xixue_des	技能信息描述	造成伤害的{0}转化为生命值
7359	skill_search_0	技能信息描述	扇形半径{0}米
7360	skill_search_1	技能信息描述	直线{0}x{1}米
7361	skill_search_2	技能信息描述	圆形半径{0}米
7362	skill_range	技能信息描述	{0}米
7363	skill_time	技能信息描述	{0}秒
7364	skill_zhenqiCost	技能信息描述	真气消耗
7365	skill_zhenqiRecover	技能信息描述	真气恢复
7366	skill_null	技能信息描述	无
7400	mail_remove_all_read_mail	邮件	确定删除所有已读的邮件？
7401	comfirm		确定
7402	cancel		取消
7403	mail_no_attachment_to_fetch	邮件	没有可领取的物品
7404	main_mail_count_prompt	邮件	最多可保存{0}/{1}
7405	mail_remove_mail	邮件	还有附件未领取，确定删除？
7406	mail_sender_template	邮件	发送者：{0}
7407	mail_sender_default	邮件	系统
7408	mail_package_full	邮件	背包已满，请清理后再来领取附件
7409	mail_not_removable_mail	邮件	没有可删除的邮件
7500	systemHint_sensitiveWord	通用系统提示	输入内容包含违法字符
7600	get_new_appearance	外观	成功获得新外观
7601	delete_cloth_color	外观	成功删除颜色方案
7602	reset_cloth_color	外观	已还原为初始方案
7603	save_new_color	外观	成功染色，新方案已保存
7604	cannot_unlock	外观	条件不足，无法解锁
7605	loaded_ride_full	外观	可装备的坐骑数量已达上限
7606	save_new_presetting	外观	形象保存成功
7607	apply_new_presetting	外观	新形象已生效
7608	presetting_full	外观	预设栏位已满，请先清理在保存
