动作ID	备注	动作名称	开始帧	结束帧	动作事件	动作类型
22705	玄武鲨技能4	skill_4	0	25	22705_1	
22705	玄武鲨技能4	skill_4	25	52	22705_2	
22705	玄武鲨技能4	skill_4	52	80	22705_3	
22706	玄武鲨技能5	skill_5	0	83	22706_1	
22707	玄武鲨技能6	skill_6	0	173	22707_1	
22801	修真道士普攻1	attack_1	0	32	22801	
22802	修真道士普攻2	attack_2	0	32	22802	
22803	修真道士普攻3	attack_3	0	40	22803	
22804	冰冻	attack_2	0	32	22804	
22805	冰剑轮回	skill_1	0	65	22805	
22806	寒冰御剑诀	skill_4	0	70	22806	
22807	寒残雪刃	skill_2	0	85	22807	
22808	狂暴	attack_1	0	32	22808	
22900	冥鳞普攻1	attack_1	0	50		
22901	冥鳞普攻2	attack_2	0	141		
22902	冥鳞技能1	skill_1	0	120		
22903	冥鳞技能2	skill_2	0	128		
22904	冥鳞技能3	skill_3	0	90		
22905	冥鳞技能4	skill_4	0	48		
22906	冥鳞技能5	skill_5	0	180		
23001	皇帝轩辕剑击	attack_1	0	65	23001	
23002	大回旋	attack_2	0	83	23002	
23003	下段踢	attack_3	0	74	23003	
23004	轩辕剑气	attack_4	0	75	23004	
23005	闪现	attack_5_2	0	42	
23006	血怒	attack_7	0	110	23006	
23007	冰炎弹	skill_3	0	90	23007	
23008	六血灵阵	attack_6	0	89	23008	
23009	正义审判	attack_1	0	65	23009	
23010	烈炎御剑	idle_to_idle_2	0	70	23010	
23011	万火灵阵	skill_1	0	55	23011	
23012	真炎箭	skill_2	0	271	23012	
23013	御火剑诀	skill_4	0	87	23013	
23014	苍炎破	skill_5	0	120	23014	
23015	寒冰御剑	idle_to_idle_3	0	70	23015	
23016	寒冰灵阵	skill_1_1	0	55	23016	
23017	寒冰箭	skill_2_1	0	271	23017	
23018	御冰剑诀	skill_4_1	0	87	23018	
23019	寒冰破	skill_5	0	120	23019	
23001	皇帝轩辕剑击	attack_1	0	65	23001	
23002	大回旋	attack_2	0	83	23002	
23003	下段踢	attack_3	0	74	23003	
23004	轩辕剑气	attack_4	0	75	23004	
23005	闪现	attack_5_1	0	10	23005	
23005	闪现	attack_5_2	0	42	
23006	血怒	attack_7	0	110	23006	
23007	冰炎弹	skill_3	0	90	23007	
23008	六血灵阵	attack_6	0	89	23008	
23009	正义审判	attack_1	0	65	23009	
23010	烈炎御剑	idle_to_idle_2	0	70	23010	
23011	万火灵阵	skill_1	0	55	23011	
23012	真炎箭	skill_2	0	271	23012	
23013	御火剑诀	skill_4	0	87	23013	
23014	苍炎破	skill_5	0	120	23014	
23015	寒冰御剑	idle_to_idle_3	0	70	23015	
23016	寒冰灵阵	skill_1_1	0	55	23016	
23017	寒冰箭	skill_2_1	0	271	23017	
23018	御冰剑诀	skill_4_1	0	87	23018	
23019	寒冰破	skill_5	0	120	23019	
23020	烈炎结束	idle_2_to_idle	0	70	23020	
23021	寒冰结束	idle_3_to_idle	0	70	23021	
