动作事件ID	备注	执行帧	执行帧类型	action集合
21803	巨像猎人（全）泰山压顶	0		effect_21803
21803	巨像猎人（全）泰山压顶	60		
21804_0	巨像猎人（全）野蛮冲撞身	0		effect_21804_0
21804	巨像猎人（全）野蛮冲撞身	31		
21804_1	巨像猎人（全）野蛮冲撞身	54		
21805	巨像猎人（全）怒吼	0		effect_21805
21805	巨像猎人（全）怒吼	91		
21806_1	巨像猎人（全）天崩地裂	41		
21806_2	巨像猎人（全）天崩地裂	66		effect_21806_2
21806_3	巨像猎人（全）天崩地裂	139		move_21806_3
21806_4	巨像猎人（全）天崩地裂	170		
21900	朱雀炎将普攻1（搓）	11		
21900	朱雀炎将普攻1（搓）	15		
21900	朱雀炎将普攻1（搓）	19		
21901	朱雀炎将普攻2（横扫）	19		
21902_1	朱雀炎将 烈风炎枪	32		
21902_2	朱雀炎将 烈风炎枪	36		
21903_1	朱雀炎将 飞羽烈炎枪	0		effect_21903_1
21903_2	朱雀炎将 飞羽烈炎枪	62		move_21903_2
21903_2	朱雀炎将 飞羽烈炎枪	64		
21903_3	朱雀炎将 飞羽烈炎枪	69		
21903_3	朱雀炎将 飞羽烈炎枪	73		
22000	姬良普通攻击	18		bullet_22000_1
22000	姬良普通攻击	34		bullet_22000_1
22000	姬良普通攻击	57		bullet_22000_1
22000	姬良普通攻击	86		bullet_22000_1
22000_1	姬良普通攻击	0		attack_22000_1
22003	姬良天雷狂奔	89		bullet_22003_1
22003_1	姬良天雷狂奔			attack_22003_1
22004	姬良封魔咒	70		bullet_22004_1
22004_1	姬良封魔咒			attack_22004_1
22005	姬良束缚咒	40		bullet_22005_1
22005_1	姬良束缚咒	0		attack_22005_1
22006	姬良寒冰蚀骨	0		effect_22006
22006	姬良寒冰蚀骨	16		bullet_22006_1
22006_1	姬良寒冰蚀骨	0		attack_22006_1
22007	姬良火风轮	0		effect_22007
22007	姬良火风轮	25		bullet_22007_1
22007_1	姬良火风轮	0		attack_22007_1
22008	姬良乾坤八剑·万剑穿胁	25		bullet_22008_1
22008	姬良乾坤八剑·万剑穿胁	27		bullet_22008_1
22008	姬良乾坤八剑·万剑穿胁	29		bullet_22008_1
22008	姬良乾坤八剑·万剑穿胁	31		bullet_22008_1
22008	姬良乾坤八剑·万剑穿胁	33		bullet_22008_1
22008	姬良乾坤八剑·万剑穿胁	35		bullet_22008_1
22008	姬良乾坤八剑·万剑穿胁	37		bullet_22008_1
22008	姬良乾坤八剑·万剑穿胁	39		bullet_22008_1
22008_1	姬良乾坤八剑·万剑穿胁	0		bullet_22008_1
22008_2	姬良乾坤八剑·万剑穿胁	0		bullet_22008_2
22008_3	姬良乾坤八剑·万剑穿胁	0		bullet_22008_3
22008_4	姬良乾坤八剑·万剑穿胁	0		bullet_22008_4
22008_5	姬良乾坤八剑·万剑穿胁	0		bullet_22008_5
22008_6	姬良乾坤八剑·万剑穿胁	0		bullet_22008_6
22008_7	姬良乾坤八剑·万剑穿胁	0		bullet_22008_7
22008_8	姬良乾坤八剑·万剑穿胁	0		bullet_22008_8
22008_21	姬良乾坤八剑·万剑穿胁	0		attack_22008_21
22009_0	姬良火龙吐炎	0		effect_22009_0
22009	姬良火龙吐炎	0		bullet_22009_1
22009	姬良火龙吐炎	0		bullet_22009_1
22009_1	姬良火龙吐炎	0		attack_22009_1
22011	姬良真火念法	0		effect_22011
22011	姬良真火念法	5		bullet_22011_1
22011	姬良真火念法	5		bullet_22011_1
22011_1	姬良真火念法	0		attack_22011_1
22012	姬良毒蛊咒	24		bullet_22012_1
22012_1	姬良毒蛊咒	0		attack_22012_1
22013	姬良九龙化伤术	24		attack_22013
22015_2	姬良 召唤降龙力士	0		
22016_2	姬良 召唤降龙力士	0		
22017_2	姬良 召唤降龙力士	0		
22018_2	姬良 召唤降龙力士	0		
22100	降龙力士普攻	19		attack_22100
22100	降龙力士普攻	40		attack_22100
22101	降龙力士技能下段踢	38		attack_22101
22102	降龙力士技能台风斩	41		attack_22102_1
22103	降龙力士技能斗气爆破	41		attack_22103_1
22104_0	降龙力士技能风神膝	0		
22104_2	降龙力士技能风神膝	0		move_22104_2
22104_3	降龙力士技能风神膝	1		attack_22104_3
22105	降龙力士技能旋风	5		bullet_22105_1
22105_1	降龙力士技能旋风	0		attack_22105_1
22200	翼虎普攻	22		attack_22200
22201	翼虎扑咬	43		move_22201
22201	翼虎扑咬	51		search_22201
22202	翼虎火焰吐息	93		search_22202
22203_1	翼虎猛虎落地	0		effect_22203
22203_2	翼虎猛虎落地	30		move_22203
22203_3	翼虎猛虎落地	60		search_22203_2
22204	翼虎虎啸天雷	0		effect_22204
22204	翼虎虎啸天雷	89		attack_22204
22205	翼虎麻痹电球	57		bullet_22205_1
22205_1	翼虎喷电	0		attack_22205_1
22205_1	翼虎喷电	0		bullet_22205_2
22206	翼虎奔雷	4		move_22206
22206	翼虎奔雷	41		attack_22206
22300	祸斗兽普攻	0		effect_22300
22300	祸斗兽普攻	20		
22301	祸斗兽扑地	0		effect_22301
22301	祸斗兽扑地	46		
22302	祸斗兽喷火	0		effect_22302
22302	祸斗兽喷火	92		
22303_1	祸斗兽飞扑	0		effect_22303_1
22303_2	祸斗兽飞扑	30		move_22303_2
22303_3	祸斗兽飞扑	60		
22400	隋军副官普攻1	18		attack_22400
22401	隋军副官普攻2	28		attack_22401
22402	随军副官威震天地	0		effect_22402
22402	随军副官威震天地	63		attack_22402
22403	随军副官搓土扬灰	0		effect_22403
22403	随军副官搓土扬灰	24		attack_22403
22403	随军副官搓土扬灰	43		attack_22403
22404_0	披星戴月	0		effect_22404
22404_1	披星戴月	35		move_22404
22404_2	披星戴月	61		search_22404_1
22405	随军副官地裂山崩	0		effect_22405
22405	随军副官地裂山崩	18		search_22405
22406	随军副官重击	28		attack_22406
22500_1	蚩尤普攻	20		search_22500_1
22501_1	蚩尤普攻1	25		search_22500_1
22503_1	蚩尤右飞刀	16		search_22503_1
22504_1	蚩尤左飞刀	17		search_22503_1
22505_1	蚩尤乱披风斩	3		search_22505_1
22505_1	蚩尤乱披风斩	11		search_22505_1
22505_1	蚩尤乱披风斩	19		search_22505_1
22505_1	蚩尤乱披风斩	27		search_22505_1
22505_1	蚩尤乱披风斩	35		search_22505_1
22505_2	蚩尤乱披风斩(砸地)	24		search_22505_2
22505_2	蚩尤乱披风斩(砸地)	40		search_22505_2
22506_1	蚩尤死亡罡风	3		bullet_22506_1
22506_1	蚩尤死亡罡风	3		bullet_22506_2
22506_1	蚩尤死亡罡风	3		bullet_22506_3
22506_1	蚩尤死亡罡风	3		bullet_22506_4
22506_1	蚩尤死亡罡风	3		bullet_22506_5
22506_1	蚩尤死亡罡风	3		bullet_22506_6
22506_1	蚩尤死亡罡风	3		bullet_22506_7
22506_1	蚩尤死亡罡风	3		bullet_22506_8
22507_1	蚩尤蛮斧1段	33		bullet_22507_1
22507_1	蚩尤蛮斧2段	48		bullet_22507_3
22507_1	蚩尤蛮斧3段	63		bullet_22507_5
22508_1	蚩尤横扫(气浪)	34		bullet_22508_1
22508_1	蚩尤横扫(气浪)	34		search_22508_1
22509_1	蚩尤竖劈	19		search_22509_1
22511_1	蚩尤怒吼	20		search_22511_1
22511_1	蚩尤怒吼	25		search_22511_1
22511_1	蚩尤怒吼	29		search_22511_1
22600_1	远古战灵普攻1	45		attack_22600_1
22601_1	远古战灵普攻2	42		attack_22601_1
22602_1	远古战灵普攻3	52		attack_22602_1
22602_1	远古战灵普攻3	61		attack_22602_1
22602_1	远古战灵普攻3	71		attack_22602_1
22603_1	远古战灵技能1	39		search_22603_1
22604_1	远古战灵技能2	29		search_22604_1
22605_1	远古战灵技能3	80		search_22605_1
22606_1	远古战灵技能4	64		move_22606_1
22606_2	远古战灵技能4	66		attack_22606_1
22606_3	远古战灵技能4	84		attack_22606_1
22607_1	远古战灵技能5	80		add_buff_22607_1
22607_1	远古战灵技能5	80		add_buff_22607_2
22608_1	远古战灵技能6	51		bullet_22608_1
22608_1	远古战灵技能6	51		bullet_22608_2
22608_1	远古战灵技能6	51		bullet_22608_3
22608_1	远古战灵技能6	51		bullet_22608_4
22608_1	远古战灵技能6	51		bullet_22608_5
22609_1	远古战灵技能7	40		search_22609_1
22700_1	玄武鲨普攻1	30		attack_22700_1
22701_1	玄武鲨普攻2	30		attack_22701_1
22702_1	玄武鲨技能1	38		search_22702_1
22702_1	玄武鲨技能1	63		search_22702_1
22702_1	玄武鲨技能1	84		search_22702_1
22703_1	玄武鲨技能2	58		search_22703_1
22704_1	玄武鲨技能3	31		bullet_22704_1
22705_1	玄武鲨技能4	0		effect_22705
22705_2	玄武鲨技能4	25		move_22705
22705_3	玄武鲨技能4	52		search_22705_2
22706_1	玄武鲨技能5	41		bullet_22706_1
22707_1	玄武鲨技能6	94		search_22707_1
22707_1	玄武鲨技能6	104		search_22707_1
22707_1	玄武鲨技能6	114		search_22707_1
22707_1	玄武鲨技能6	124		search_22707_1
22707_1	玄武鲨技能6	134		search_22707_1
22801	修真道士普攻1	10		bullet_22801
22802	修真道士普攻2	11		attack_22802
22803	修真道士普攻3	13		attack_22803
22804	冰冻	10		bullet_22804
22805	冰剑轮回	0		effect_22805
22805	冰剑轮回	40		search_22805
22806	寒冰御剑诀	0		effect_22806
22806	寒冰御剑诀	0		search_22806
22807	寒残雪刃	56		search_22807
22808	狂暴	10		add_buff_22808
23001	皇帝轩辕剑击	18		attack_23001
23001	皇帝轩辕剑击	32		attack_23001
23002	大回旋	31		attack_23002
23002	大回旋	49		attack_23002
23003	下段踢	34		attack_23003
23004	轩辕剑气	32		attack_23004
23005	闪现	
23005	闪现	
23006	血怒	70		attack_23006
23007	冰炎弹	40		bullet_23007
23008	六血灵阵	41		bullet_23008
23009	正义审判	
23010	烈炎御剑			
23011	万火灵阵			
23012	真炎箭			
23013	御火剑诀			
23014	苍炎破			
23015	寒冰御剑			
23016	寒冰灵阵			
23017	寒冰箭			
23018	御冰剑诀			
23019	寒冰破			
23001	皇帝轩辕剑击	18		attack_23001
23001	皇帝轩辕剑击	32		attack_23001
23002	大回旋	31		attack_23002
23002	大回旋	49		attack_23002
23003	下段踢	34		attack_23003
23004	轩辕剑气	32		attack_23004
23005	闪现	
23005	闪现	
23006	血怒	70		attack_23006
23007	冰炎弹	40		bullet_23007
23008	六血灵阵	41		bullet_23008
23009	正义审判	
23010	烈炎御剑	0		posture_23010
23011	万火灵阵	25		
23012	真炎箭	133		bullet_23012
23013	御火剑诀			
23014	苍炎破			
23015	寒冰御剑	0		posture_23015
23016	寒冰灵阵			
23017	寒冰箭			
23018	御冰剑诀			
23019	寒冰破			
23020	烈炎结束	0		posture_23000
23021	寒冰结束	0		posture_23000
