注灵ID	注灵类型	法宝ID	备注	境界等级	需要角色等级	注灵材料	位置参数	前置注灵ID	力量	智慧	根骨	体魄	敏捷	身法	生命值	物理攻击	法术攻击	治疗强度	物理防御	法术防御	额外伤害	伤害减免	暴击等级	暴击伤害等级	暴击防御等级	暴击伤害减免等级	命中等级	回避等级	招架等级	物理穿透等级	法术穿透等级	全属性抗性	金抗性	木抗性	水抗性	火抗性	土抗性	金伤害	木伤害	水伤害	火伤害	土伤害
21681	2	206	洞察光环	8	50	1903;7	16	20682																30			18	15														
21682	2	206	洞察光环	8	50	1903;7	20	20682													8		15					15														
20691	1	206	洞察光环	9	50	1901;40,1902;3	3			13																																
20692	1	206	洞察光环	9	50	1901;40,1902;3	6	20691			13																															
20693	1	206	洞察光环	9	50	1901;40,1902;3	9	20692				13																														
20694	1	206	洞察光环	9	50	1901;40,1902;3	12	20693						13																												
21691	2	206	洞察光环	9	50	1903;7	15	20693																30			18	15														
21692	2	206	洞察光环	9	50	1903;7	18	20694															15	45				8														
30101	1	301	庖丁菜刀	0	50	1901;2	1		4																																	
30102	1	301	庖丁菜刀	0	50	1901;2	3	30101			4																															
30103	1	301	庖丁菜刀	0	50	1901;2	4	30102	4																																	
30104	1	301	庖丁菜刀	0	50	1901;2	7	30103					4																													
30105	1	301	庖丁菜刀	0	50	1901;2	12	30104	4																																	
30106	1	301	庖丁菜刀	0	50	1901;2	16	30105				4																														
30111	1	301	庖丁菜刀	1	50	1901;5	2		5																																	
30112	1	301	庖丁菜刀	1	50	1901;5	5	30111			5																															
30113	1	301	庖丁菜刀	1	50	1901;5	8	30112	5																																	
30114	1	301	庖丁菜刀	1	50	1901;5	11	30113					5																													
30115	1	301	庖丁菜刀	1	50	1901;5	14	30114	5																																	
30116	1	301	庖丁菜刀	1	50	1901;5	16	30115			5																															
30121	1	301	庖丁菜刀	2	50	1901;10	3		6																																	
30122	1	301	庖丁菜刀	2	50	1901;10	8	30121			6																															
30123	1	301	庖丁菜刀	2	50	1901;10	11	30122	6																																	
30124	1	301	庖丁菜刀	2	50	1901;10	13	30123					6																													
30125	1	301	庖丁菜刀	2	50	1901;10	15	30124	6																																	
30126	1	301	庖丁菜刀	2	50	1901;10	16	30125				6																														
31121	2	301	庖丁菜刀	2	50	1903;1	18	30121								15											27															
31122	2	301	庖丁菜刀	2	50	1903;1	19	30123											30					45																		
31123	2	301	庖丁菜刀	2	50	1903;1	21	30125								10													30													
30131	1	301	庖丁菜刀	3	50	1901;10	3		7																																	
30132	1	301	庖丁菜刀	3	50	1901;10	5	30131			7																															
30133	1	301	庖丁菜刀	3	50	1901;10	6	30132	7																																	
30134	1	301	庖丁菜刀	3	50	1901;10	7	30133					7																													
30135	1	301	庖丁菜刀	3	50	1901;10	9	30134	7																																	
30136	1	301	庖丁菜刀	3	50	1901;10	11	30135						7																												
31131	2	301	庖丁菜刀	3	50	1903;2	12	30131								15											27															
31132	2	301	庖丁菜刀	3	50	1903;2	16	30132											30					45																		
31133	2	301	庖丁菜刀	3	50	1903;2	18	30133																			18		30													
30141	1	301	庖丁菜刀	4	50	1901;20	1		8																																	
30142	1	301	庖丁菜刀	4	50	1901;20	3	30141			8																															
30143	1	301	庖丁菜刀	4	50	1901;20	4	30142	8																																	
30144	1	301	庖丁菜刀	4	50	1901;20	6	30143				8																														
30145	1	301	庖丁菜刀	4	50	1901;20	7	30144	8																																	
30146	1	301	庖丁菜刀	4	50	1901;20	12	30145					8																													
31141	2	301	庖丁菜刀	4	50	1903;3	15	30143								15											27															
31142	2	301	庖丁菜刀	4	50	1903;3	18	30144											30					45																		
31143	2	301	庖丁菜刀	4	50	1903;3	19	30145																			18		30													
30151	1	301	庖丁菜刀	5	50	1901;50	2		9																																	
30152	1	301	庖丁菜刀	5	50	1901;50	4	30151			9																															
30153	1	301	庖丁菜刀	5	50	1901;50	6	30152	9																																	
30154	1	301	庖丁菜刀	5	50	1901;50	8	30153					9																													
30155	1	301	庖丁菜刀	5	50	1901;50	10	30154	9																																	
30156	1	301	庖丁菜刀	5	50	1901;50	12	30155						9																												
31151	2	301	庖丁菜刀	5	50	1903;4	14	30152								15											27															
31152	2	301	庖丁菜刀	5	50	1903;4	16	30153											30					45																		
31153	2	301	庖丁菜刀	5	50	1903;4	18	30154																			18		30													
30161	1	301	庖丁菜刀	6	50	1901;30,1902;1	3		10																																	
30162	1	301	庖丁菜刀	6	50	1901;30,1902;1	5	30161			10																															
30163	1	301	庖丁菜刀	6	50	1901;30,1902;1	7	30162	10																																	
30164	1	301	庖丁菜刀	6	50	1901;30,1902;1	9	30163					10																													
30165	1	301	庖丁菜刀	6	50	1901;30,1902;1	11	30164	10																																	
30166	1	301	庖丁菜刀	6	50	1901;30,1902;1	13	30165				10																														
31161	2	301	庖丁菜刀	6	50	1903;5	15	30161								15											27															
31162	2	301	庖丁菜刀	6	50	1903;5	17	30162											30					45																		
31163	2	301	庖丁菜刀	6	50	1903;5	19	30164																			18		30													
30171	1	301	庖丁菜刀	7	50	1901;30,1902;1	1		11																																	
30172	1	301	庖丁菜刀	7	50	1901;30,1902;1	4	30171			11																															
30173	1	301	庖丁菜刀	7	50	1901;30,1902;1	7	30172	11																																	
30174	1	301	庖丁菜刀	7	50	1901;30,1902;1	10	30173					11																													
30175	1	301	庖丁菜刀	7	50	1901;30,1902;1	11	30174	11																																	
30176	1	301	庖丁菜刀	7	50	1901;30,1902;1	14	30175				11																														
31171	2	301	庖丁菜刀	7	50	1903;6	13	30172								15											27															
31172	2	301	庖丁菜刀	7	50	1903;6	15	30173											30					45																		
31173	2	301	庖丁菜刀	7	50	1903;6	17	30174																			9		38													
30181	1	301	庖丁菜刀	8	50	1901;40,1902;2	3		12																																	
30182	1	301	庖丁菜刀	8	50	1901;40,1902;2	4	30181			12																															
30183	1	301	庖丁菜刀	8	50	1901;40,1902;2	6	30182	12																																	
30184	1	301	庖丁菜刀	8	50	1901;40,1902;2	8	30183					12																													
30185	1	301	庖丁菜刀	8	50	1901;40,1902;2	10	30184				12																														
30186	1	301	庖丁菜刀	8	50	1901;40,1902;2	13	30185						12																												
31181	2	301	庖丁菜刀	8	50	1903;7	16	30181								15														23												
31182	2	301	庖丁菜刀	8	50	1903;7	20	30182											24					36						8												
31183	2	301	庖丁菜刀	8	50	1903;7	21	30183															30						15													
30191	1	301	庖丁菜刀	9	50	1901;40,1902;3	1		13																																	
30192	1	301	庖丁菜刀	9	50	1901;40,1902;3	3	30191					13																													
30193	1	301	庖丁菜刀	9	50	1901;40,1902;3	4	30192	13																																	
30194	1	301	庖丁菜刀	9	50	1901;40,1902;3	10	30193			13																															
30195	1	301	庖丁菜刀	9	50	1901;40,1902;3	12	30194			13																															
30196	1	301	庖丁菜刀	9	50	1901;40,1902;3	16	30195						13																												
31191	2	301	庖丁菜刀	9	50	1903;7	17	30193								15														23												
31192	2	301	庖丁菜刀	9	50	1903;7	18	30194															23							23												
31193	2	301	庖丁菜刀	9	50	1903;7	20	30195								10														30												
30201	1	302	白虎风牙	0	50	1901;2	1		4																																	
30202	1	302	白虎风牙	0	50	1901;2	3	30201			4																															
30203	1	302	白虎风牙	0	50	1901;2	4	30202					4																													
30204	1	302	白虎风牙	0	50	1901;2	7	30203				4																														
30205	1	302	白虎风牙	0	50	1901;2	12	30204			4																															
30206	1	302	白虎风牙	0	50	1901;2	16	30205					4																													
30211	1	302	白虎风牙	1	50	1901;5	2		5																																	
30212	1	302	白虎风牙	1	50	1901;5	5	30211			5																															
30213	1	302	白虎风牙	1	50	1901;5	8	30212					5																													
30214	1	302	白虎风牙	1	50	1901;5	11	30213						5																												
30215	1	302	白虎风牙	1	50	1901;5	14	30214					5																													
30216	1	302	白虎风牙	1	50	1901;5	16	30215					5																													
30221	1	302	白虎风牙	2	50	1901;10	3		6																																	
30222	1	302	白虎风牙	2	50	1901;10	8	30221			6																															
30223	1	302	白虎风牙	2	50	1901;10	11	30222					6																													
30224	1	302	白虎风牙	2	50	1901;10	13	30223				6																														
30225	1	302	白虎风牙	2	50	1901;10	15	30224	6																																	
30226	1	302	白虎风牙	2	50	1901;10	16	30225					6																													
31221	2	302	白虎风牙	2	50	1903;1	18	30221								20														15												
31222	2	302	白虎风牙	2	50	1903;1	19	30223															23		23																	
31223	2	302	白虎风牙	2	50	1903;1	21	30225							160																							45				
30231	1	302	白虎风牙	3	50	1901;10	3		7																																	
30232	1	302	白虎风牙	3	50	1901;10	5	30231			7																															
30233	1	302	白虎风牙	3	50	1901;10	6	30232					7																													
30234	1	302	白虎风牙	3	50	1901;10	7	30233						7																												
30235	1	302	白虎风牙	3	50	1901;10	9	30234					7																													
30236	1	302	白虎风牙	3	50	1901;10	11	30235					7																													
31231	2	302	白虎风牙	3	50	1903;2	12	30231								20														15												
31232	2	302	白虎风牙	3	50	1903;2	16	30232															23		23																	
31233	2	302	白虎风牙	3	50	1903;2	18	30233							120								8															45				
30241	1	302	白虎风牙	4	50	1901;20	1		8																																	
30242	1	302	白虎风牙	4	50	1901;20	3	30241			8																															
30243	1	302	白虎风牙	4	50	1901;20	4	30242					8																													
30244	1	302	白虎风牙	4	50	1901;20	6	30243				8																														
30245	1	302	白虎风牙	4	50	1901;20	7	30244			8																															
30246	1	302	白虎风牙	4	50	1901;20	12	30245					8																													
31241	2	302	白虎风牙	4	50	1903;3	15	30243								20														15												
31242	2	302	白虎风牙	4	50	1903;3	18	30244															23		23																	
31243	2	302	白虎风牙	4	50	1903;3	19	30245															15							15								45				
30251	1	302	白虎风牙	5	50	1901;50	2		9																																	
30252	1	302	白虎风牙	5	50	1901;50	4	30251			9																															
30253	1	302	白虎风牙	5	50	1901;50	6	30252					9																													
30254	1	302	白虎风牙	5	50	1901;50	8	30253	9																																	
30255	1	302	白虎风牙	5	50	1901;50	10	30254			9																															
30256	1	302	白虎风牙	5	50	1901;50	12	30255					9																													
31251	2	302	白虎风牙	5	50	1903;4	14	30252								20														15												
31252	2	302	白虎风牙	5	50	1903;4	16	30253															23		23																	
31253	2	302	白虎风牙	5	50	1903;4	18	30254															15		23													23				
30261	1	302	白虎风牙	6	50	1901;30,1902;1	3		10																																	
30262	1	302	白虎风牙	6	50	1901;30,1902;1	5	30261			10																															
30263	1	302	白虎风牙	6	50	1901;30,1902;1	7	30262					10																													
30264	1	302	白虎风牙	6	50	1901;30,1902;1	9	30263				10																														
30265	1	302	白虎风牙	6	50	1901;30,1902;1	11	30264			10																															
30266	1	302	白虎风牙	6	50	1901;30,1902;1	13	30265					10																													
31261	2	302	白虎风牙	6	50	1903;5	15	30261															15		15		18															
31262	2	302	白虎风牙	6	50	1903;5	17	30262								20							15																			
31263	2	302	白虎风牙	6	50	1903;5	19	30264															15		15					15												
30271	1	302	白虎风牙	7	50	1901;30,1902;1	1		11																																	
30272	1	302	白虎风牙	7	50	1901;30,1902;1	4	30271			11																															
30273	1	302	白虎风牙	7	50	1901;30,1902;1	7	30272					11																													
30274	1	302	白虎风牙	7	50	1901;30,1902;1	10	30273						11																												
30275	1	302	白虎风牙	7	50	1901;30,1902;1	11	30274			11																															
30276	1	302	白虎风牙	7	50	1901;30,1902;1	14	30275					11																													
31271	2	302	白虎风牙	7	50	1903;6	13	30272															15		15					15												
31272	2	302	白虎风牙	7	50	1903;6	15	30273																	23		27															
31273	2	302	白虎风牙	7	50	1903;6	17	30274															15		15					15												
30281	1	302	白虎风牙	8	50	1901;40,1902;2	3		12																																	
30282	1	302	白虎风牙	8	50	1901;40,1902;2	4	30281	12																																	
30283	1	302	白虎风牙	8	50	1901;40,1902;2	6	30282			12																															
30284	1	302	白虎风牙	8	50	1901;40,1902;2	8	30283					12																													
30285	1	302	白虎风牙	8	50	1901;40,1902;2	10	30284					12																													
30286	1	302	白虎风牙	8	50	1901;40,1902;2	13	30285			12																															
31281	2	302	白虎风牙	8	50	1903;7	16	30281															15		15		18															
31282	2	302	白虎风牙	8	50	1903;7	20	30282																	23					23												
31283	2	302	白虎风牙	8	50	1903;7	21	30283															15		15					15												
30291	1	302	白虎风牙	9	50	1901;40,1902;3	1		13																																	
30292	1	302	白虎风牙	9	50	1901;40,1902;3	3	30291	13																																	
30293	1	302	白虎风牙	9	50	1901;40,1902;3	4	30292					13																													
30294	1	302	白虎风牙	9	50	1901;40,1902;3	10	30293					13																													
30295	1	302	白虎风牙	9	50	1901;40,1902;3	12	30294	13																																	
30296	1	302	白虎风牙	9	50	1901;40,1902;3	16	30295			13																															
31291	2	302	白虎风牙	9	50	1903;7	17	30293															15		15					15												
31292	2	302	白虎风牙	9	50	1903;7	18	30294																	23					23												
31293	2	302	白虎风牙	9	50	1903;7	20	30295															15		15					15												
30301	1	303	朱雀火羽	0	50	1901;2	1			4																																
30302	1	303	朱雀火羽	0	50	1901;2	3	30301					4																													
30303	1	303	朱雀火羽	0	50	1901;2	4	30302					4																													
30304	1	303	朱雀火羽	0	50	1901;2	7	30303					4																													
30305	1	303	朱雀火羽	0	50	1901;2	12	30304						4																												
30306	1	303	朱雀火羽	0	50	1901;2	16	30305			4																															
30311	1	303	朱雀火羽	1	50	1901;5	2			5																																
30312	1	303	朱雀火羽	1	50	1901;5	5	30311					5																													
30313	1	303	朱雀火羽	1	50	1901;5	8	30312					5																													
30314	1	303	朱雀火羽	1	50	1901;5	11	30313					5																													
30315	1	303	朱雀火羽	1	50	1901;5	14	30314				5																														
30316	1	303	朱雀火羽	1	50	1901;5	16	30315						5																												
30321	1	303	朱雀火羽	2	50	1901;10	3			6																																
30322	1	303	朱雀火羽	2	50	1901;10	8	30321		6																																
30323	1	303	朱雀火羽	2	50	1901;10	11	30322					6																													
30324	1	303	朱雀火羽	2	50	1901;10	13	30323					6																													
30325	1	303	朱雀火羽	2	50	1901;10	15	30324					6																													
30326	1	303	朱雀火羽	2	50	1901;10	16	30325						6																												
31321	2	303	朱雀火羽	2	50	1903;1	18	30321															23	45																		
31322	2	303	朱雀火羽	2	50	1903;1	19	30323															15		23		9															
31323	2	303	朱雀火羽	2	50	1903;1	21	30325															15					15													45	
30331	1	303	朱雀火羽	3	50	1901;10	3			7																																
30332	1	303	朱雀火羽	3	50	1901;10	5	30331					7																													
30333	1	303	朱雀火羽	3	50	1901;10	6	30332					7																													
30334	1	303	朱雀火羽	3	50	1901;10	7	30333					7																													
30335	1	303	朱雀火羽	3	50	1901;10	9	30334						7																												
30336	1	303	朱雀火羽	3	50	1901;10	11	30335				7																														
31331	2	303	朱雀火羽	3	50	1903;2	12	30331															23	45																		
31332	2	303	朱雀火羽	3	50	1903;2	16	30332															15		23		9															
31333	2	303	朱雀火羽	3	50	1903;2	18	30333															15					15													45	
30341	1	303	朱雀火羽	4	50	1901;20	1			8																																
30342	1	303	朱雀火羽	4	50	1901;20	3	30341		8																																
30343	1	303	朱雀火羽	4	50	1901;20	4	30342					8																													
30344	1	303	朱雀火羽	4	50	1901;20	6	30343					8																													
30345	1	303	朱雀火羽	4	50	1901;20	7	30344					8																													
30346	1	303	朱雀火羽	4	50	1901;20	12	30345						8																												
31341	2	303	朱雀火羽	4	50	1903;3	15	30343															23	45																		
31342	2	303	朱雀火羽	4	50	1903;3	18	30344															15		23		9															
31343	2	303	朱雀火羽	4	50	1903;3	19	30345															15					15													45	
30351	1	303	朱雀火羽	5	50	1901;50	2			9																																
30352	1	303	朱雀火羽	5	50	1901;50	4	30351		9																																
30353	1	303	朱雀火羽	5	50	1901;50	6	30352			9																															
30354	1	303	朱雀火羽	5	50	1901;50	8	30353					9																													
30355	1	303	朱雀火羽	5	50	1901;50	10	30354					9																													
30356	1	303	朱雀火羽	5	50	1901;50	12	30355					9																													
31351	2	303	朱雀火羽	5	50	1903;4	14	30352															23	45																		
31352	2	303	朱雀火羽	5	50	1903;4	16	30353															15		23		9															
31353	2	303	朱雀火羽	5	50	1903;4	18	30354															15					23													23	
30361	1	303	朱雀火羽	6	50	1901;30,1902;1	3			10																																
30362	1	303	朱雀火羽	6	50	1901;30,1902;1	5	30361		10																																
30363	1	303	朱雀火羽	6	50	1901;30,1902;1	7	30362			10																															
30364	1	303	朱雀火羽	6	50	1901;30,1902;1	9	30363		10																																
30365	1	303	朱雀火羽	6	50	1901;30,1902;1	11	30364					10																													
30366	1	303	朱雀火羽	6	50	1901;30,1902;1	13	30365						10																												
31361	2	303	朱雀火羽	6	50	1903;5	15	30361									15							45																		
31362	2	303	朱雀火羽	6	50	1903;5	17	30362																	23		27															
31363	2	303	朱雀火羽	6	50	1903;5	19	30364																	15		18	15														
30371	1	303	朱雀火羽	7	50	1901;30,1902;1	1							11																												
30372	1	303	朱雀火羽	7	50	1901;30,1902;1	4	30371		11																																
30373	1	303	朱雀火羽	7	50	1901;30,1902;1	7	30372		11																																
30374	1	303	朱雀火羽	7	50	1901;30,1902;1	10	30373		11																																
30375	1	303	朱雀火羽	7	50	1901;30,1902;1	11	30374					11																													
30376	1	303	朱雀火羽	7	50	1901;30,1902;1	14	30375					11																													
31371	2	303	朱雀火羽	7	50	1903;6	13	30372									20										18															
31372	2	303	朱雀火羽	7	50	1903;6	15	30373																30	15		18															
31373	2	303	朱雀火羽	7	50	1903;6	17	30374																30			18	15														
30381	1	303	朱雀火羽	8	50	1901;40,1902;2	3			12																																
30382	1	303	朱雀火羽	8	50	1901;40,1902;2	4	30381		12																																
30383	1	303	朱雀火羽	8	50	1901;40,1902;2	6	30382				12																														
30384	1	303	朱雀火羽	8	50	1901;40,1902;2	8	30383					12																													
30385	1	303	朱雀火羽	8	50	1901;40,1902;2	10	30384					12																													
30386	1	303	朱雀火羽	8	50	1901;40,1902;2	13	30385		12																																
31381	2	303	朱雀火羽	8	50	1903;7	16	30381									20										18															
31382	2	303	朱雀火羽	8	50	1903;7	20	30382																30	15		18															
31383	2	303	朱雀火羽	8	50	1903;7	21	30383																30	15		18															
30391	1	303	朱雀火羽	9	50	1901;40,1902;3	1			13																																
30392	1	303	朱雀火羽	9	50	1901;40,1902;3	3	30391		13																																
30393	1	303	朱雀火羽	9	50	1901;40,1902;3	4	30392					13																													
30394	1	303	朱雀火羽	9	50	1901;40,1902;3	10	30393					13																													
30395	1	303	朱雀火羽	9	50	1901;40,1902;3	12	30394		13																																
30396	1	303	朱雀火羽	9	50	1901;40,1902;3	16	30395					13																													
31391	2	303	朱雀火羽	9	50	1903;7	17	30393									15										27															
31392	2	303	朱雀火羽	9	50	1903;7	18	30394																30	15		18															
31393	2	303	朱雀火羽	9	50	1903;7	20	30395																30	15		18															
30401	1	304	沙尘之珠	0	50	1901;2	1			4																																
30402	1	304	沙尘之珠	0	50	1901;2	3	30401			4																															
30403	1	304	沙尘之珠	0	50	1901;2	4	30402		4																																
30404	1	304	沙尘之珠	0	50	1901;2	7	30403			4																															
30405	1	304	沙尘之珠	0	50	1901;2	12	30404			4																															
30406	1	304	沙尘之珠	0	50	1901;2	16	30405						4																												
30411	1	304	沙尘之珠	1	50	1901;5	2			5																																
30412	1	304	沙尘之珠	1	50	1901;5	5	30411		5																																
30413	1	304	沙尘之珠	1	50	1901;5	8	30412		5																																
30414	1	304	沙尘之珠	1	50	1901;5	11	30413			5																															
30415	1	304	沙尘之珠	1	50	1901;5	14	30414			5																															
30416	1	304	沙尘之珠	1	50	1901;5	16	30415						5																												
30421	1	304	沙尘之珠	2	50	1901;10	3			6																																
30422	1	304	沙尘之珠	2	50	1901;10	8	30421		6																																
30423	1	304	沙尘之珠	2	50	1901;10	11	30422		6																																
30424	1	304	沙尘之珠	2	50	1901;10	13	30423			6																															
30425	1	304	沙尘之珠	2	50	1901;10	15	30424				6																														
30426	1	304	沙尘之珠	2	50	1901;10	16	30425						6																												
31421	2	304	沙尘之珠	2	50	1903;1	18	30421							120													23														
31422	2	304	沙尘之珠	2	50	1903;1	19	30423									15														23											
31423	2	304	沙尘之珠	2	50	1903;1	21	30425									10											15														45
30431	1	304	沙尘之珠	3	50	1901;10	3			7																																
30432	1	304	沙尘之珠	3	50	1901;10	5	30431		7																																
30433	1	304	沙尘之珠	3	50	1901;10	6	30432		7																																
30434	1	304	沙尘之珠	3	50	1901;10	7	30433		7																																
30435	1	304	沙尘之珠	3	50	1901;10	9	30434			7																															
30436	1	304	沙尘之珠	3	50	1901;10	11	30435				7																														
31431	2	304	沙尘之珠	3	50	1903;2	12	30431							120													23														
31432	2	304	沙尘之珠	3	50	1903;2	16	30432									15														23											
31433	2	304	沙尘之珠	3	50	1903;2	18	30433									10											15														45
30441	1	304	沙尘之珠	4	50	1901;20	1			8																																
30442	1	304	沙尘之珠	4	50	1901;20	3	30441			8																															
30443	1	304	沙尘之珠	4	50	1901;20	4	30442			8																															
30444	1	304	沙尘之珠	4	50	1901;20	6	30443			8																															
30445	1	304	沙尘之珠	4	50	1901;20	7	30444		8																																
30446	1	304	沙尘之珠	4	50	1901;20	12	30445						8																												
31441	2	304	沙尘之珠	4	50	1903;3	15	30443							120													23														
31442	2	304	沙尘之珠	4	50	1903;3	18	30444									15														23											
31443	2	304	沙尘之珠	4	50	1903;3	19	30445									10											15														45
30451	1	304	沙尘之珠	5	50	1901;50	2			9																																
30452	1	304	沙尘之珠	5	50	1901;50	4	30451		9																																
30453	1	304	沙尘之珠	5	50	1901;50	6	30452		9																																
30454	1	304	沙尘之珠	5	50	1901;50	8	30453			9																															
30455	1	304	沙尘之珠	5	50	1901;50	10	30454			9																															
30456	1	304	沙尘之珠	5	50	1901;50	12	30455						9																												
31451	2	304	沙尘之珠	5	50	1903;4	14	30452							120													23														
31452	2	304	沙尘之珠	5	50	1903;4	16	30453									15														23											
31453	2	304	沙尘之珠	5	50	1903;4	18	30454							40		10											15														23
30461	1	304	沙尘之珠	6	50	1901;30,1902;1	3			10																																
30462	1	304	沙尘之珠	6	50	1901;30,1902;1	5	30461		10																																
30463	1	304	沙尘之珠	6	50	1901;30,1902;1	7	30462			10																															
30464	1	304	沙尘之珠	6	50	1901;30,1902;1	9	30463			10																															
30465	1	304	沙尘之珠	6	50	1901;30,1902;1	11	30464		10																																
30466	1	304	沙尘之珠	6	50	1901;30,1902;1	13	30465						10																												
31461	2	304	沙尘之珠	6	50	1903;5	15	30461																				23			23											
31462	2	304	沙尘之珠	6	50	1903;5	17	30462															23	45																		
31463	2	304	沙尘之珠	6	50	1903;5	19	30464									10											15			15											
30471	1	304	沙尘之珠	7	50	1901;30,1902;1	1			11																																
30472	1	304	沙尘之珠	7	50	1901;30,1902;1	4	30471			11																															
30473	1	304	沙尘之珠	7	50	1901;30,1902;1	7	30472				11																														
30474	1	304	沙尘之珠	7	50	1901;30,1902;1	10	30473		11																																
30475	1	304	沙尘之珠	7	50	1901;30,1902;1	11	30474						11																												
30476	1	304	沙尘之珠	7	50	1901;30,1902;1	14	30475		11																																
31471	2	304	沙尘之珠	7	50	1903;6	13	30472																				23			23											
31472	2	304	沙尘之珠	7	50	1903;6	15	30473															23	45																		
31473	2	304	沙尘之珠	7	50	1903;6	17	30474									10											15			15											
30481	1	304	沙尘之珠	8	50	1901;40,1902;2	3			12																																
30482	1	304	沙尘之珠	8	50	1901;40,1902;2	4	30481			12																															
30483	1	304	沙尘之珠	8	50	1901;40,1902;2	6	30482		12																																
30484	1	304	沙尘之珠	8	50	1901;40,1902;2	8	30483			12																															
30485	1	304	沙尘之珠	8	50	1901;40,1902;2	10	30484		12																																
30486	1	304	沙尘之珠	8	50	1901;40,1902;2	13	30485					12																													
31481	2	304	沙尘之珠	8	50	1903;7	16	30481															15					15			15											
31482	2	304	沙尘之珠	8	50	1903;7	20	30482															15	30																		
31483	2	304	沙尘之珠	8	50	1903;7	21	30483									10											15			15											
30491	1	304	沙尘之珠	9	50	1901;40,1902;3	1			13																																
30492	1	304	沙尘之珠	9	50	1901;40,1902;3	3	30491		13																																
30493	1	304	沙尘之珠	9	50	1901;40,1902;3	4	30492					13																													
30494	1	304	沙尘之珠	9	50	1901;40,1902;3	10	30493		13																																
30495	1	304	沙尘之珠	9	50	1901;40,1902;3	12	30494			13																															
30496	1	304	沙尘之珠	9	50	1901;40,1902;3	16	30495			13																															
31491	2	304	沙尘之珠	9	50	1903;7	17	30493																45							23											
31492	2	304	沙尘之珠	9	50	1903;7	18	30494									10							30							15											
31493	2	304	沙尘之珠	9	50	1903;7	20	30495															23								23											
30501	1	305	玄武之沂	0	50	1901;2	1				4																															
30502	1	305	玄武之沂	0	50	1901;2	3	30501			4																															
30503	1	305	玄武之沂	0	50	1901;2	4	30502			4																															
30504	1	305	玄武之沂	0	50	1901;2	7	30503				4																														
30505	1	305	玄武之沂	0	50	1901;2	12	30504				4																														
30506	1	305	玄武之沂	0	50	1901;2	16	30505					4																													
30511	1	305	玄武之沂	1	50	1901;5	2				5																															
30512	1	305	玄武之沂	1	50	1901;5	5	30511			5																															
30513	1	305	玄武之沂	1	50	1901;5	8	30512				5																														
30514	1	305	玄武之沂	1	50	1901;5	11	30513				5																														
30515	1	305	玄武之沂	1	50	1901;5	14	30514			5																															
30516	1	305	玄武之沂	1	50	1901;5	16	30515					5																													
30521	1	305	玄武之沂	2	50	1901;10	3				6																															
30522	1	305	玄武之沂	2	50	1901;10	8	30521			6																															
30523	1	305	玄武之沂	2	50	1901;10	11	30522				6																														
30524	1	305	玄武之沂	2	50	1901;10	13	30523				6																														
30525	1	305	玄武之沂	2	50	1901;10	15	30524	6																																	
30526	1	305	玄武之沂	2	50	1901;10	16	30525		6																																
31521	2	305	玄武之沂	2	50	1903;1	18	30521							240																											
31522	2	305	玄武之沂	2	50	1903;1	19	30523											30	30																						
31523	2	305	玄武之沂	2	50	1903;1	21	30525															15				18													45		
30531	1	305	玄武之沂	3	50	1901;10	3				7																															
30532	1	305	玄武之沂	3	50	1901;10	5	30531			7																															
30533	1	305	玄武之沂	3	50	1901;10	6	30532			7																															
30534	1	305	玄武之沂	3	50	1901;10	7	30533				7																														
30535	1	305	玄武之沂	3	50	1901;10	9	30534	7																																	
30536	1	305	玄武之沂	3	50	1901;10	11	30535					7																													
31531	2	305	玄武之沂	3	50	1903;2	12	30531							240																											
31532	2	305	玄武之沂	3	50	1903;2	16	30532											30	30																						
31533	2	305	玄武之沂	3	50	1903;2	18	30533															15				18													45		
30541	1	305	玄武之沂	4	50	1901;20	1				8																															
30542	1	305	玄武之沂	4	50	1901;20	3	30541			8																															
30543	1	305	玄武之沂	4	50	1901;20	4	30542			8																															
30544	1	305	玄武之沂	4	50	1901;20	6	30543				8																														
30545	1	305	玄武之沂	4	50	1901;20	7	30544					8																													
30546	1	305	玄武之沂	4	50	1901;20	12	30545	8																																	
31541	2	305	玄武之沂	4	50	1903;3	15	30543							240																											
31542	2	305	玄武之沂	4	50	1903;3	18	30544											30	30																						
31543	2	305	玄武之沂	4	50	1903;3	19	30545															15				18		8											23		
30551	1	305	玄武之沂	5	50	1901;50	2				9																															
30552	1	305	玄武之沂	5	50	1901;50	4	30551			9																															
30553	1	305	玄武之沂	5	50	1901;50	6	30552			9																															
30554	1	305	玄武之沂	5	50	1901;50	8	30553				9																														
30555	1	305	玄武之沂	5	50	1901;50	10	30554	9																																	
30556	1	305	玄武之沂	5	50	1901;50	12	30555		9																																
31551	2	305	玄武之沂	5	50	1903;4	14	30552							240																											
31552	2	305	玄武之沂	5	50	1903;4	16	30553											30	30																						
31553	2	305	玄武之沂	5	50	1903;4	18	30554															15				18		15													
30561	1	305	玄武之沂	6	50	1901;30,1902;1	3				10																															
30562	1	305	玄武之沂	6	50	1901;30,1902;1	5	30561			10																															
30563	1	305	玄武之沂	6	50	1901;30,1902;1	7	30562					10																													
30564	1	305	玄武之沂	6	50	1901;30,1902;1	9	30563					10																													
30565	1	305	玄武之沂	6	50	1901;30,1902;1	11	30564				10																														
30566	1	305	玄武之沂	6	50	1901;30,1902;1	13	30565	10																																	
