id	道具id	名字	等级下限	等级上限	权重	数量	随机数量
303	20041	60头盔·紫·七曜	1	150	599	1	
303	20042	60胸甲·紫·七曜	1	150	599	1	
303	20043	60手套·紫·七曜	1	150	719	1	
303	20044	60裤子·紫·七曜	1	150	599	1	
303	20045	60鞋子·紫·七曜	1	150	719	1	
303	20081	60物攻项链·紫	1	150	959	1	
303	20082	60法攻项链·紫	1	150	959	1	
303	20083	60物攻戒指·紫	1	150	599	1	
303	20084	60法攻戒指·紫	1	150	599	1	
303	20085	60物攻饰品·紫	1	150	959	1	
303	20086	60法攻饰品·紫	1	150	959	1	
303	21001	60级剑·橙	1	150	103	1	
303	21002	60级短剑·橙	1	150	103	1	
303	21003	60级法器·橙	1	150	103	1	
303	21004	60级环·橙	1	150	103	1	
303	21011	60头盔·橙·天剑	1	150	171	1	
303	21012	60胸甲·橙·天剑	1	150	171	1	
303	21013	60手套·橙·天剑	1	150	128	1	
303	21014	60裤子·橙·天剑	1	150	171	1	
303	21015	60鞋子·橙·天剑	1	150	128	1	
303	21021	60头盔·橙·墨家	1	150	171	1	
303	21022	60胸甲·橙·墨家	1	150	171	1	
303	21023	60手套·橙·墨家	1	150	128	1	
303	21024	60裤子·橙·墨家	1	150	171	1	
303	21025	60鞋子·橙·墨家	1	150	128	1	
303	21031	60头盔·橙·鬼谷	1	150	171	1	
303	21032	60胸甲·橙·鬼谷	1	150	171	1	
303	21033	60手套·橙·鬼谷	1	150	128	1	
303	21034	60裤子·橙·鬼谷	1	150	171	1	
303	21035	60鞋子·橙·鬼谷	1	150	128	1	
303	21041	60头盔·橙·七曜	1	150	171	1	
303	21042	60胸甲·橙·七曜	1	150	171	1	
303	21043	60手套·橙·七曜	1	150	128	1	
303	21044	60裤子·橙·七曜	1	150	171	1	
303	21045	60鞋子·橙·七曜	1	150	128	1	
303	21081	60物攻项链·橙	1	150	103	1	
303	21082	60法攻项链·橙	1	150	103	1	
303	21083	60物攻戒指·橙	1	150	51	1	
303	21084	60法攻戒指·橙	1	150	51	1	
303	21085	60物攻饰品·橙	1	150	103	1	
303	21086	60法攻饰品·橙	1	150	103	1	
303	22001	60级剑·红	1	150	9	1	
303	22002	60级短剑·红	1	150	9	1	
303	22003	60级法器·红	1	150	9	1	
303	22004	60级环·红	1	150	9	1	
303	22011	60头盔·红·天剑	1	150	32	1	
303	22012	60胸甲·红·天剑	1	150	32	1	
303	22013	60手套·红·天剑	1	150	24	1	
303	22014	60裤子·红·天剑	1	150	32	1	
303	22015	60鞋子·红·天剑	1	150	24	1	
303	22021	60头盔·红·墨家	1	150	32	1	
303	22022	60胸甲·红·墨家	1	150	32	1	
303	22023	60手套·红·墨家	1	150	24	1	
303	22024	60裤子·红·墨家	1	150	32	1	
303	22025	60鞋子·红·墨家	1	150	24	1	
303	22031	60头盔·红·鬼谷	1	150	32	1	
303	22032	60胸甲·红·鬼谷	1	150	32	1	
303	22033	60手套·红·鬼谷	1	150	24	1	
303	22034	60裤子·红·鬼谷	1	150	32	1	
303	22035	60鞋子·红·鬼谷	1	150	24	1	
303	22041	60头盔·红·七曜	1	150	32	1	
303	22042	60胸甲·红·七曜	1	150	32	1	
303	22043	60手套·红·七曜	1	150	24	1	
303	22044	60裤子·红·七曜	1	150	32	1	
303	22045	60鞋子·红·七曜	1	150	24	1	
303	22081	60物攻项链·红	1	150	19	1	
303	22082	60法攻项链·红	1	150	19	1	
303	22083	60物攻戒指·红	1	150	9	1	
303	22084	60法攻戒指·红	1	150	9	1	
303	22085	60物攻饰品·红	1	150	19	1	
303	22086	60法攻饰品·红	1	150	19	1	
