冒泡ID	冒泡内容	冒泡时长	备注：功能名	备注：npc
6023	兄弟们！！给我上	2	天书	
6024	不能让他们走了！！	2	天书	
6025	你们就是水镜那婆娘派来搞事的？	2	天书	
6025	你们今天不放下工钱就别想出去！！	2	天书	
6031	凡人来跟本仙比划比划	2	天书	
6031	本座让你三分力气	2	天书	
6032	我也来的	2	天书	
6033	我也来的	2	天书	
6034	让你见识一下我从道场新学的招式	2	天书	
6035	逆鳞老哥再这样下去	2	天书	
6035	道场的面子挂不住啊…	2	天书	
6036	本座这次…	2	天书	
6036	要使出十分的力量了！！	2	天书	
6037	凡人你能走到这里很不错	2	天书	
6037	不过到此为止了！！！	2	天书	
6041	啾~？吱？	2	天书	
6042	吱吱吱...吱吱吱吱！（谁闯进...我的地盘！！！）	2	天书	
6043	嘶嘶…嘶嘶…	2	天书	
6044	嘶嘶…嘶嘶嘶（你们…能吃吗？）	2	天书	
6051	这里就是神州界了吗？	2	天书	
6052	总感觉哪里不对…	2	天书	
6053	让开，让开，我要大开杀戒了！！！	2	天书	
6061	你们居然能发现这里	2	天书	
6061	那么就请你们成为我的粮食吧！！！	2	天书	
6071	良姬丧心病狂，不发工钱。	3	天书	
6071	辛辛苦苦给你干了大半年	3	天书	
6071	你不发工钱	3	天书	
6072	姬良你这王八蛋	3	天书	
6072	还我血汗钱	3	天书	
6083	本座这次…要使出二十分的力量了	2	天书	
6082	别废话了姬良	2	天书	
6082	赶紧给仙术道场找回场子	2	天书	
6092	嘶嘶…嘶嘶！！！	2	天书	
6093	吱吱吱！！！	2	天书	
6091	是谁伤害了我可爱的仆从们？	2	天书	
6091	是汝等吗？	2	天书	
750	老子过的桥比你走的路还多	
d5040_1	竟敢坏我好事，你会为此付出代价的！	6	5040任务定制关卡	
d5040_2	你的死期到了！	2	5040任务定制关卡	
d5040_2	陛下的仆人们，现出你们真正的面目！	2	5040任务定制关卡	
d5040_3	在！		5040任务定制关卡	
d5170_2	想要通过此路，先过我们这关！	2	5170定制战斗陈靖仇巡逻表现事件	
d5170_6	想要通过此路，先过我们这关！	2	5170定制战斗陈靖仇巡逻表现事件	
d5170_7	想要通过此路，先过我们这关！	2	5170定制战斗陈靖仇巡逻表现事件	
t5212_1	退后！非涿鹿城民不得入城！		前往城门被守城军喊停	
t3026_2	攻击人族村落！		刷出的蚩尤战士出生冒泡	
t3032_1	卑贱的人类！不准再前行。	
t3086_1	朱雀的权威，怎容你等凡人亵渎！	2	
t3026_3	兄弟们，守卫村落！		刷出的井木村卫出生冒泡	
t3271_1	这么快，我们又见面了，感受朱雀真正的力量吧！	4	朱雀祭司跑出来挑衅	
g2011	吼！！！	2	主线201	
g2012	上啊兄弟们！！！包围他们！！！	2	主线201	
g2013	杂碎们，躲是没有用的	2	主线201	
g2014	拿命来！！！	2	主线201	
g2015	吼！！吼！！	2	主线201	
g2020	...是活人的气味…	2	主线202	
g2021	有入侵者！有入侵者！	2	主线202	
g2022	捉住[sex他:她]！！	2	主线202	
g2023	我…想…回…家	2	主线202	
g2024	呜…呜…呜呜…	2	主线202	
g2025	咳…咳咳…	2	主线202	
g2071	杀！！！	2	前尘往事 207 尸兵冒泡	
g20331	站住！	2	定制战斗2033	
g20332	别想逃！	2	定制战斗2033	
g20333	捉住他们！！	2	定制战斗2033	
t13036_1	又有人出来了，伙计们上去看看。	2	门派任务13036，怪物进入战斗时冒泡	
t13040_1	谁？是谁在那？偷偷摸摸的！	4	门派任务13040，怪物出生时冒泡	
